Periods: 100
Task Arrival Rate: 10
Task Average Time: 2
Driver Arrival Rate: 15
Driver Average Time: 3
Period: 1
Tasks:10
id	x	y	end	c
1	26	175.95	4	106.04
2	136.58	142.54	5	56.1
3	119.78	112.29	5	23.29
4	86.39	161.98	2	63.46
5	171.73	90.41	5	72.37
6	172.24	136.23	1	80.82
7	173.74	34.15	5	98.86
8	41.33	146.06	1	74.59
9	179.56	133.07	1	86.16
10	39.94	49.31	2	78.59
Drivers: 14
id	x	y	end	sensitivity
1	89.32	63.12	4	0.67
2	111.61	176.93	3	1.26
3	3.41	89.46	4	0.6
4	144.6	40.19	4	1.91
5	161.86	3.17	3	1.43
6	73.14	86.18	6	1.6
7	184.46	16.02	4	1.51
8	115.43	50.54	6	0.73
9	196.69	15.73	4	1.27
10	13.84	7.39	3	0.6
11	49.72	107.56	1	1.52
12	186.27	105.26	2	0.58
13	60.21	136.13	2	1.32
14	184.15	115.53	4	0.75
Period: 2
Tasks:14
id	x	y	end	c
11	65.57	193	5	99.17
12	128.67	99.21	6	28.68
13	132.98	173.16	3	80.25
14	70.01	91.8	5	31.09
15	155.05	103.15	3	55.14
16	101.08	16.82	6	83.19
17	77.77	156.88	5	61.07
18	170.57	175.59	4	103.41
19	81.94	62.07	3	42.01
20	19.83	45.32	3	97.04
21	30.67	88.54	4	70.27
22	37.9	97.17	3	62.16
23	192.8	109.69	2	93.3
24	55.19	113.48	4	46.79
Drivers: 20
id	x	y	end	sensitivity
15	152.27	29.12	3	1.46
16	104.99	95.86	3	1.17
17	7.06	93.46	3	1.42
18	87.3	19.39	5	1.63
19	5.93	86.65	3	1.73
20	50.08	64.31	7	1.8
21	44.36	47.19	3	0.97
22	141.1	78.68	3	1.1
23	103.91	174.56	2	1.34
24	59.02	129.63	6	1.91
25	41.43	91.75	6	0.82
26	128.71	154.86	4	1.57
27	142.48	65.68	4	1.88
28	153.1	192.04	5	0.65
29	187.62	49.81	3	1.91
30	195.51	91.83	3	0.51
31	135.1	163.73	4	0.64
32	8.29	72.75	5	1.3
33	39.82	75.74	4	1.14
34	73.83	72.61	5	1.42
Period: 3
Tasks:9
id	x	y	end	c
25	157.14	48.07	6	77.21
26	154.97	0.15	4	113.98
27	96.66	73.52	7	26.69
28	10.46	75.7	3	92.78
29	178.34	7.13	3	121.5
30	130.85	114.83	6	34.23
31	110.45	130.68	5	32.41
32	4.53	163.69	5	114.76
33	135.76	130.65	5	47.1
Drivers: 23
id	x	y	end	sensitivity
35	196.37	119.16	5	1.05
36	108.94	9.69	9	0.99
37	174.88	110.29	4	1.85
38	85.98	68.99	4	0.72
39	29.91	172.8	3	1.62
40	115.71	7.43	8	1.69
41	74.34	52.76	8	1.89
42	60.06	94.25	8	0.89
43	44.62	172.56	7	1.62
44	34.52	157	7	1.59
45	89.43	45.44	5	0.9
46	145.25	98.85	6	1.44
47	173.79	6.24	6	0.75
48	134.71	51.78	6	1.7
49	85.97	0.02	6	1.75
50	1.51	59.63	8	1.54
51	193.68	67.73	6	1.57
52	126.8	83.65	7	0.7
53	43.37	184.35	7	1.61
54	138.6	109.61	7	0.94
55	197.85	69.04	4	1.95
56	4.63	91.32	5	1.38
57	51.55	176.06	3	0.51
Period: 4
Tasks:4
id	x	y	end	c
34	57.35	71.88	5	51.09
35	140.05	167.53	9	78.51
