Periods: 100
Task Arrival Rate: 15
Task Average Time: 3
Driver Arrival Rate: 10
Driver Average Time: 3
Period: 1
Tasks:18
id	x	y	end	c
1	6.32	165.18	2	114.12
2	154.73	32.78	5	86.68
3	64.57	73.47	7	44.26
4	31.71	119.56	4	71.04
5	34.35	107.57	4	66.09
6	102.68	150.39	2	50.46
7	158.32	113.75	2	59.92
8	159.93	150.24	2	78.2
9	97.9	106.68	3	7
10	126.83	19.33	5	85.01
11	89.19	38.27	5	62.67
12	68.05	38.17	7	69.6
13	12.27	152.83	6	102.41
14	7.81	100.98	3	92.2
15	136.71	104.5	4	36.98
16	46.77	191.45	4	105.81
17	74.1	169.87	3	74.52
18	78.12	111.98	4	24.95
Drivers: 10
id	x	y	end	sensitivity
1	46.25	119.45	7	0.74
2	103.6	188.77	6	1.26
3	58.58	166.35	4	0.98
4	101.49	141.7	2	0.66
5	65.93	136.76	4	1.88
6	108.33	22.78	2	1.78
7	44.32	144.87	5	1.87
8	176.69	151.49	6	1.69
9	24.04	140.88	6	0.71
10	136.96	193.63	6	1.58
Period: 2
Tasks:16
id	x	y	end	c
19	29.83	156.65	3	90.18
20	83.23	109.44	5	19.24
21	31.38	36.98	5	93.17
22	126.32	18.1	6	86.03
23	80.41	34.86	6	68.02
24	62.95	63.39	3	52.09
25	150.91	119.15	5	54.39
26	146.74	48.5	3	69.55
27	129.15	92.25	6	30.16
28	13.9	84.01	5	87.57
29	4.2	56.75	4	105.11
30	40.73	156.81	4	82.1
31	34.5	49.36	4	82.79
32	3.05	164.5	5	116.45
33	133.37	7.23	3	98.59
34	162.31	173	3	95.98
Drivers: 8
id	x	y	end	sensitivity
11	82.37	168.93	4	0.75
12	58.32	124.32	4	1.95
13	86.84	150.53	5	0.57
14	85.09	58.59	4	1.49
15	29.41	141.92	7	0.87
16	43.19	91.71	4	0.6
17	67.37	116.19	5	1.99
18	35.98	85.78	7	0.91
Period: 3
Tasks:16
id	x	y	end	c
35	106.27	150.12	3	50.51
36	99.66	80.26	7	19.74
37	164.17	88.95	5	65.11
38	103.38	16.59	7	83.48
39	25.22	26.32	5	104.98
40	22.67	8.5	6	119.8
41	150.23	195.84	4	108.21
42	70.98	114.97	9	32.65
43	21.15	129.29	6	84.11
