NUM_DRIVERS: 150
NUM_TASKS: 100
PENALTY: 20%
UTILITY: 50%
DRIVERS
ID             X              Y              
1              26.86          6.64           
2              113.32         21.86          
3              181.29         138.08         
4              0.8            86.1           
5              92.67          192.26         
6              75.74          23.19          
7              69.49          77.69          
8              164.67         38.68          
9              56.46          174.19         
10             13.64          62.91          
11             95.38          101.29         
12             51.05          13.72          
13             37.25          73.21          
14             64.74          153.83         
15             81.22          60.6           
16             7.58           65.71          
17             174.59         115.95         
18             131.38         140.39         
19             35.59          186.38         
20             20.38          105.68         
21             172.96         147.55         
22             90.07          119.08         
23             71.17          4.17           
24             167.08         7.22           
25             188.34         94.68          
26             121.06         87.94          
27             16.16          87.02          
28             139.4          95.67          
29             23.11          108.81         
30             141.45         61.94          
31             149.48         88.78          
32             151.71         2.35           
33             5.63           62.81          
34             103.43         20.52          
35             76.68          59.74          
36             194.54         120.84         
37             14.27          101.87         
38             42.43          10.08          
39             76.96          75.97          
40             50.44          130.28         
41             27.77          59.33          
42             143.73         70.47          
43             71.12          173.34         
44             98.61          86.73          
45             50.13          47.5           
46             53.58          172.01         
47             190.42         128.19         
48             188.28         79.67          
49             191.73         158.35         
50             170.2          54.71          
51             124.41         108.87         
52             7.62           69.94          
53             13.31          166.73         
54             175.17         64.65          
55             133.42         161.88         
56             125.09         104.94         
57             87.13          182.3          
58             126.79         68.14          
59             123.66         151.07         
60             68.06          137.1          
61             75.01          133.52         
62             136.81         31.71          
63             150.29         191.63         
64             24.16          101.54         
65             188.1          14.21          
66             158.4          169.73         
67             159.17         95.11          
68             5.14           86.59          
69             158.67         93.13          
70             93.2           196.8          
71             121.1          117.2          
72             43.1           109.34         
73             197.8          93.59          
74             33.59          79.18          
75             74.4           43.68          
76             31.89          56.85          
77             94.11          186.82         
78             52.75          95.56          
79             151.93         74.78          
80             86.94          55.96          
81             119.52         40.62          
82             139.93         9.29           
83             172.45         114.98         
84             89.61          193.51         
85             74.65          152.95         
86             46.82          178.37         
87             93.91          3.18           
88             149.3          187.9          
89             152.84         81.87          
90             24.17          89.83          
91             180.58         28.66          
92             101.53         17.53          
93             58.38          92.82          
94             168.16         81.87          
95             134.56         191.98         
96             44.98          99             
97             188.3          140.35         
98             168            158.14         
99             178.32         56.31          
100            171.57         187.5          
101            47.64          111.86         
102            160.19         123.99         
103            186.21         174.46         
104            0.67           140.47         
105            105.03         44.09          
106            138.14         180.75         
107            40.78          55.76          
108            113.45         74.5           
109            188.42         157.3          
110            114.12         28.23          
111            106.14         73.87          
112            18.49          66.9           
113            185.49         105.63         
114            151.65         117.83         
115            4.77           171.2          
116            46.85          99.19          
117            49.02          68.18          
118            38.13          169.62         
119            100.89         82.92          
120            98.99          155.05         
121            15.54          160.52         
122            119.65         41.1           
123            56.81          112.91         
124            27.77          44.27          
125            39.88          77.35          
126            47.91          106.57         
127            190.18         197.19         
128            1.39           74.06          
129            97.85          24.69          
130            114.47         168.59         
131            150.79         64.34          
132            196.3          39.88          
133            64.01          53.21          
134            43.21          189.02         
135            153.06         42.37          
136            166.8          16.64          
137            116.58         163.03         
138            89.91          194.5          
139            101.55         151.95         
140            58.02          73.93          
141            139.91         16.71          
142            96.12          12.56          
143            20.52          87.91          
144            78.94          88.45          
145            8.93           133.68         
146            8.95           188.34         
147            56.73          9.57           
148            162.32         39.76          
149            14.81          189.53         
150            108.67         90.45          
TASKS
ID             X              Y              COST           PENALIZED_COST 
1              72.89          101.55         27.1543        32.5851        
2              154.5          7.19           107.629        129.154        
3              146.98         124.33         52.9062        63.4875        
4              194.51         69.49          99.3126        119.175        
5              148.03         188.39         100.597        120.716        
6              40.14          139.87         71.9224        86.3069        
7              75.46          188.27         91.6177        109.941        
8              49.4           198.29         110.55         132.66         
9              170.99         52.22          85.5717        102.686        
10             76.66          117.64         29.2562        35.1074        
11             125.12         167.27         71.8072        86.1686        
12             85.28          110.57         18.1219        21.7463        
13             95.16          133.87         34.2141        41.0569        
14             8.78           163.04         110.883        133.06         
15             185.24         82.62          86.9938        104.393        
16             20.31          80.77          81.9774        98.3728        
17             144.08         167.75         80.8276        96.9932        
18             2.91           40.33          113.96         136.753        
19             58.63          105.3          41.7081        50.0497        
20             122.21         148.81         53.6256        64.3507        
21             164.81         113.49         66.1991        79.4389        
22             172.13         184.09         110.787        132.945        
23             79.04          199.27         101.459        121.75         
24             8.31           50.01          104.432        125.318        
25             142.47         137.4          56.5903        67.9083        
26             9.15           110.78         91.4873        109.785        
27             86.25          177.41         78.6217        94.346         
28             91.11          84.62          17.7645        21.3174        
29             87.34          11             89.8959        107.875        
30             56.22          40.65          73.7503        88.5004        
31             80.27          30.16          72.5734        87.0881        
32             170.99         162.69         94.7081        113.65         
33             176.63         107.12         76.9601        92.3521        
34             4.39           91.56          95.9818        115.178        
35             10.05          148.2          102.05         122.46         
36             116.48         4.39           97.0199        116.424        
37             22.9           163.48         99.8705        119.845        
38             190.2          134.82         96.6875        116.025        
39             59.04          130.88         51.2962        61.5554        
40             36.91          100.61         63.0929        75.7115        
41             58.16          156.09         69.9762        83.9715        
42             1.37           113.04         99.4883        119.386        
43             88.23          107.16         13.7767        16.5321        
44             47.68          36.08          82.6024        99.1228        
45             60.25          111.15         41.2842        49.541         
46             33.6           32.73          94.521         113.425        
47             11.77          4.79           129.806        155.767        
48             126.73         118.74         32.6448        39.1737        
49             160.8          120.53         64.1726        77.0071        
50             11.61          31.53          111.808        134.169        
51             50.33          40.3           77.6608        93.193         
52             132.83         191.2          96.9291        116.315        
53             23.72          88.97          77.0733        92.488         
54             143.6          21.28          89.9878        107.985        
55             157.96         124.43         62.8982        75.4779        
56             126.13         199.21         102.593        123.112        
57             19.78          86.9           81.2826        97.5391        
58             147.37         188.66         100.521        120.625        
59             77.07          177.18         80.5142        96.617         
60             65.69          71.36          44.6926        53.6311        
61             180.78         67.74          86.9834        104.38         
62             74.22          11.94          91.756         110.107        
63             29.52          73.27          75.3785        90.4542        
64             149.59         134.1          60.1829        72.2194        
65             52.91          112.72         48.7777        58.5333        
66             96.74          6.5            93.5568        112.268        
67             88.56          96.74          11.8954        14.2745        
68             168.18         44.63          87.8314        105.398        
69             144.66         102.82         44.7489        53.6987        
70             96.79          57.65          42.4715        50.9658        
71             94.51          111.87         13.0781        15.6937        
72             22.84          44.72          94.9186        113.902        
73             53.25          40.81          75.4256        90.5107        
74             102.32         120.73         20.8594        25.0313        
75             127.13         92.22          28.2235        33.8682        
76             152.09         43.04          77.1868        92.6242        
77             173.42         17.75          110.252        132.303        
78             43.02          26.9           92.684         111.221        
79             41.72          15.6           102.567        123.08         
80             116.12         132.79         36.5382        43.8458        
81             70.13          140.58         50.388         60.4656        
82             19.59          91.45          80.8633        97.0359        
83             175.29         147.86         89.2141        107.057        
84             108.87         109.21         12.7868        15.3441        
85             30.83          181.78         107.11         128.531        
86             63.14          87.49          38.9251        46.7101        
87             167.31         94.8           67.5106        81.0127        
88             199.68         40.42          116.129        139.354        
89             111.29         32.63          68.3095        81.9713        
90             167.17         1.39           119.314        143.176        
91             34.61          80.29          68.2959        81.9551        
92             196.55         150.56         108.987        130.785        
93             34.84          194.89         115.108        138.13         
94             33.07          167.42         95.0004        114.001        
95             163.39         56.8           76.7107        92.0528        
96             97.71          175.78         75.8146        90.9775        
97             128.79         199.76         103.831        124.597        
98             164.36         99.06          64.3669        77.2402        
99             124.56         132.85         41.016         49.2193        
100            191.62         64.82          98.142         117.77         
ALPHA
0.447077       0.340163       0.3171         0.49647        0.385641       0.381515       0.368711       0.321959       0.423218       0.480066       0.0483094      0.421551       0.469328       0.401858       0.316543       0.484871       0.293667       0.262657       0.449625       0.499974       0.317163       0.208024       0.401739       0.356758       0.309856       0.15716        0.494886       0.211008       0.499562       0.264606       0.242058       0.359091       0.484063       0.349693       0.336485       0.322003       0.499856       0.43205        0.313733       0.456479       0.465967       0.252443       0.398224       0.117373       0.421968       0.427469       0.320699       0.313245       0.342152       0.309069       0.163979       0.487318       0.473744       0.305648       0.312249       0.160901       0.381585       0.229805       0.286944       0.38834        0.353159       0.318392       0.358154       0.499811       0.358036       0.333124       0.261148       0.496203       0.260576       0.389571       0.174858       0.497545       0.321728       0.48081        0.363725       0.459107       0.378264       0.49265        0.260976       0.30681        0.300858       0.350956       0.289864       0.390001       0.373518       0.437349       0.379707       0.353725       0.255107       0.495113       0.342325       0.355776       0.478982       0.283399       0.359628       0.498628       0.325973       0.324562       0.316047       0.357689       0.493187       0.276211       0.351797       0.491135       0.301831       0.344083       0.444869       0.189902       0.338936       0.328681       0.190588       0.479936       0.306359       0.253957       0.477226       0.498641       0.440695       0.449573       0.140684       0.317596       0.474828       0.29973        0.48117        0.45583        0.471803       0.498756       0.371393       0.491364       0.348911       0.330528       0.273422       0.343778       0.386815       0.441724       0.308894       0.347371       0.317684       0.390618       0.305246       0.422197       0.341379       0.367367       0.494604       0.288806       0.491732       0.47002        0.415823       0.319001       0.466086       0.0998081      
0.252047       0.261878       0.18606        0.178617       0.152848       0.214232       0.0866626      0.316656       0.142762       0.181367       0.0109635      0.234751       0.140861       0.115092       0.110049       0.185451       0.174762       0.105319       0.16696        0.145647       0.174735       0.0454275      0.261952       0.476211       0.219674       0.0622181      0.158666       0.100404       0.141367       0.171656       0.133958       0.487992       0.190272       0.247971       0.115432       0.212185       0.15488        0.242951       0.0787846      0.108028       0.1694         0.153554       0.134266       0.0325681      0.164935       0.142369       0.202509       0.241454       0.206444       0.264917       0.0607758      0.181685       0.170577       0.246207       0.133324       0.06097        0.141067       0.119218       0.110458       0.0928339      0.0813786      0.281361       0.178907       0.14124        0.433131       0.168301       0.151712       0.173066       0.152504       0.158094       0.0611468      0.111413       0.239901       0.14012        0.158103       0.168036       0.146429       0.0978937      0.164692       0.12028        0.200322       0.405027       0.170543       0.154276       0.107194       0.152827       0.288122       0.174717       0.153197       0.146037       0.380534       0.255213       0.0893445      0.19213        0.167396       0.109821       0.198118       0.172595       0.276421       0.195747       0.104363       0.144266       0.204972       0.172349       0.165744       0.158364       0.159802       0.0773044      0.201441       0.238787       0.0706363      0.171712       0.203184       0.125148       0.180318       0.106638       0.130943       0.151474       0.0426696      0.103664       0.165159       0.198687       0.0895926      0.190324       0.132729       0.103613       0.220275       0.18559        0.225679       0.127957       0.188171       0.353237       0.141121       0.164569       0.274214       0.433746       0.121586       0.15541        0.0992729      0.109842       0.369285       0.263228       0.152235       0.0549413      0.161574       0.186558       0.244001       0.307089       0.183181       0.0318216      
0.268234       0.246534       0.499434       0.245509       0.330827       0.228036       0.131834       0.31746        0.275273       0.235308       0.0219196      0.248842       0.196107       0.229368       0.151047       0.241454       0.466465       0.339644       0.298622       0.220659       0.49622        0.0977183      0.25662        0.333344       0.426317       0.124348       0.224509       0.240075       0.217709       0.243521       0.286502       0.315744       0.244934       0.240372       0.156788       0.48119        0.228664       0.25694        0.120616       0.194073       0.219659       0.246887       0.275174       0.0584323      0.205094       0.271515       0.49065        0.398251       0.49815        0.330737       0.16179        0.239866       0.283211       0.349288       0.378802       0.155642       0.305738       0.18482        0.3184         0.184245       0.166627       0.265531       0.434473       0.21329        0.360714       0.45605        0.351034       0.23989        0.342542       0.338937       0.170671       0.182632       0.436375       0.1989         0.191644       0.21637        0.322866       0.1567         0.281054       0.159613       0.221645       0.294685       0.46217        0.329478       0.224593       0.284048       0.261952       0.43247        0.29166        0.211971       0.348732       0.244072       0.143712       0.3514         0.403735       0.174138       0.499277       0.482467       0.350871       0.468302       0.175416       0.489974       0.488644       0.268006       0.195663       0.405874       0.206113       0.127602       0.497645       0.236765       0.113907       0.227152       0.447547       0.448539       0.293386       0.170215       0.18121        0.272651       0.074448       0.250528       0.274535       0.220952       0.156743       0.232133       0.189115       0.170957       0.481734       0.246374       0.229697       0.325069       0.274554       0.376653       0.181984       0.301366       0.289938       0.328878       0.319111       0.331477       0.244987       0.159252       0.287258       0.249073       0.217863       0.0925049      0.253822       0.309336       0.252006       0.312105       0.308523       0.0619833      
0.213033       0.204886       0.265324       0.17051        0.178791       0.177589       0.0841419      0.313352       0.157796       0.167654       0.0117903      0.195865       0.132941       0.126633       0.102481       0.172167       0.254487       0.131657       0.181648       0.143999       0.241516       0.0500385      0.209461       0.342053       0.353301       0.0693214      0.152302       0.123615       0.14063        0.184011       0.171059       0.308762       0.17591        0.196214       0.106935       0.32128        0.151804       0.203306       0.0766926      0.113575       0.155602       0.17577        0.151237       0.0339075      0.147561       0.156578       0.299429       0.407158       0.288806       0.32694        0.0722572      0.169718       0.179368       0.348293       0.167389       0.0721304      0.163297       0.124596       0.135714       0.100853       0.0890011      0.230504       0.228007       0.139107       0.396771       0.220917       0.207648       0.16549        0.207635       0.185179       0.0728396      0.112673       0.396364       0.133571       0.139233       0.153622       0.171477       0.0974701      0.202961       0.110566       0.173949       0.274433       0.246823       0.179726       0.119628       0.167451       0.22068        0.222909       0.195625       0.141232       0.377745       0.200373       0.0889425      0.274594       0.208452       0.109303       0.284793       0.233178       0.373086       0.257462       0.106448       0.197885       0.278369       0.175407       0.145938       0.199306       0.14571        0.0798486      0.281218       0.192821       0.0714669      0.159749       0.313688       0.166672       0.18898        0.106342       0.12274        0.1634         0.0441051      0.120983       0.173115       0.173077       0.0924886      0.170238       0.126396       0.104784       0.291923       0.174307       0.182999       0.15461        0.216481       0.440102       0.127869       0.180727       0.263145       0.33595        0.147412       0.181153       0.116232       0.104751       0.2635         0.205474       0.146558       0.0554904      0.164195       0.198426       0.200853       0.302783       0.195905       0.034364       
0.18587        0.146408       0.278942       0.178955       0.296463       0.143368       0.0799668      0.177368       0.222555       0.165204       0.0118512      0.16512        0.131007       0.168657       0.089149       0.171687       0.214558       0.168912       0.25287        0.157939       0.293332       0.0563227      0.166673       0.202446       0.218401       0.0593063      0.158918       0.102307       0.155588       0.123831       0.126703       0.192722       0.174609       0.145018       0.0939136      0.265072       0.164968       0.173424       0.071257       0.135584       0.149625       0.120695       0.220214       0.0312279      0.133029       0.218052       0.271813       0.209189       0.353833       0.176918       0.0707479      0.170857       0.230753       0.182744       0.268703       0.0683216      0.257417       0.0934553      0.193859       0.125139       0.108918       0.150535       0.499887       0.150579       0.220118       0.372937       0.152596       0.173531       0.150347       0.310886       0.0770252      0.124286       0.235978       0.134469       0.117632       0.146028       0.281545       0.101571       0.134711       0.0931993      0.124469       0.177057       0.207861       0.295419       0.161202       0.234081       0.165237       0.494231       0.13479        0.147766       0.204132       0.148529       0.0911671      0.16873        0.428938       0.116088       0.297284       0.326893       0.189919       0.455252       0.11834        0.195007       0.403269       0.209855       0.11175        0.394823       0.136301       0.0656353      0.34758        0.138373       0.0603082      0.158118       0.223765       0.159536       0.242776       0.112867       0.117222       0.219576       0.0395683      0.172172       0.22015        0.123887       0.10292        0.158221       0.125675       0.114188       0.461463       0.177925       0.138588       0.251142       0.138106       0.221079       0.113625       0.257017       0.158766       0.195382       0.231118       0.29879        0.162764       0.100354       0.169484       0.154134       0.152876       0.0540748      0.194143       0.264653       0.166319       0.173412       0.26427        0.0312843      
