NUM_DRIVERS: 50
NUM_TASKS: 100
PENALTY: 15%
UTILITY: 100%
DRIVERS
ID             X              Y              
1              66.55          115.49         
2              56.85          53.3           
3              12.95          110.96         
4              194.89         181.67         
5              193.89         77.42          
6              3.48           50.22          
7              111.68         162.25         
8              184.31         19.9           
9              187.6          145.93         
10             128.57         70.09          
11             47.43          186.74         
12             69.23          164.15         
13             78.41          48.95          
14             35.69          117.56         
15             190.05         101.16         
16             94.66          140.94         
17             162.52         51.06          
18             56.58          123.68         
19             159.5          10.56          
20             19.36          149.09         
21             159.44         4.97           
22             39.58          123.11         
23             90.18          166.62         
24             43.32          199.03         
25             110.98         20.12          
26             17.83          147.95         
27             79.95          51.97          
28             118.69         150.94         
29             126.98         105            
30             47.09          131.39         
31             160.2          48.08          
32             192.35         163.41         
33             181.39         124.12         
34             181.41         123.87         
35             177.76         58.57          
36             172.26         123.85         
37             166.73         175.44         
38             66.6           53.79          
39             135.38         123.18         
40             10.95          155.59         
41             13.53          12.75          
42             135.41         61.23          
43             36.59          195.69         
44             2.79           143.65         
45             47.39          24.27          
46             40.8           190.32         
47             9.84           93.49          
48             119.03         69.5           
49             168.79         77.11          
50             181.34         171.63         
TASKS
ID             X              Y              COST           PENALIZED_COST 
1              114.33         85.47          20.4076        23.4687        
2              98.58          65.71          34.3194        39.4673        
3              156.74         78.55          60.6591        69.758         
4              108.07         58.1           42.6701        49.0706        
5              17.6           111.99         83.2678        95.7579        
6              84.13          176.28         77.9134        89.6004        
7              195.27         74.94          98.5108        113.287        
8              66.06          94.95          34.3136        39.4607        
9              178.45         101.16         78.4586        90.2274        
10             83.58          9.72           91.7611        105.525        
11             177.01         88.16          77.9149        89.6021        
12             133.33         7.56           98.2652        113.005        
13             162.98         91.11          63.6043        73.145         
14             87.32          131.64         34.0862        39.1992        
15             120.03         84.79          25.1504        28.923         
16             181.59         162.38         102.704        118.11         
17             141.74         121.64         47.0161        54.0686        
18             72.8           118.46         32.8727        37.8036        
19             194.3          96.9           94.3509        108.504        
20             169.35         48.92          86.1312        99.0509        
21             185.14         30.18          110.107        126.624        
22             122.67         62.66          43.683         50.2355        
23             109.18         105.65         10.7794        12.3963        
24             123.9          122.68         32.9483        37.8906        
25             53.05          139.45         61.3238        70.5223        
26             71.97          53.21          54.5434        62.7249        
27             20.43          198.79         126.85         145.877        
28             80.1           179.55         82.0013        94.3015        
29             81.98          175.1          77.2317        88.8164        
30             88.97          29.53          71.328         82.0272        
31             79.45          55.6           48.9251        56.2638        
32             180.08         131.39         86.0124        98.9143        
33             11.55          157.42         105.454        121.272        
34             166.32         6.15           114.918        132.156        
35             192.06         30.28          115.481        132.803        
36             53.77          55.37          64.2577        73.8963        
37             9.33           126.2          94.3795        108.536        
38             170.79         169.94         99.513         114.44         
39             140.47         48.66          65.3729        75.1788        
40             77.63          48.27          56.3596        64.8136        
41             154.83         3.15           111.294        127.988        
42             127.42         88.59          29.6992        34.1541        
43             83.35          72.27          32.3446        37.1963        
44             75.02          72.28          37.3149        42.9121        
45             18.71          120.42         83.8155        96.3878        
46             75.11          182.93         86.5846        99.5723        
47             32.64          60.33          78.1734        89.8994        
48             96.2           107.14         8.08824        9.30147        
49             72.12          69.3           41.4703        47.6908        
50             158.47         126.15         64.0513        73.6589        
51             85.3           189.65         90.8472        104.474        
52             105.64         162.97         63.2221        72.7054        
53             106.56         1.39           98.828         113.652        
54             32.06          76.15          72.0046        82.8053        
55             113.77         152.66         54.4306        62.5952        
56             75.82          36.36          68.0788        78.2906        
57             172.52         23.22          105.614        121.456        
58             67.51          60.45          51.184         58.8616        
59             195.58         86.35          96.5498        111.032        
60             187.1          15.45          121.388        139.597        
61             182.74         83.73          84.3245        96.9732        
62             8.69           193.13         130.425        149.989        
63             94.9           40.32          59.8975        68.8821        
64             138.78         85.03          41.5691        47.8045        
65             27.15          158.88         93.6695        107.72         
66             148.31         92.21          48.934         56.2741        
67             87.66          130.33         32.7442        37.6559        
68             2.11           140.68         106.006        121.907        
69             176.95         20.83          110.405        126.965        
70             119.74         11.59          90.587         104.175        
71             196.57         131.87         101.693        116.947        
72             115.51         102.01         15.6397        17.9857        
73             191.41         186.1          125.575        144.411        
74             65.58          183.83         90.6212        104.214        
75             71.72          187.7          92.1469        105.969        
76             95.24          185.76         85.892         98.7758        
77             102.59         169.84         69.888         80.3712        
78             2.28           137.86         104.798        120.517        
79             199.82         23.5           125.763        144.627        
80             76.84          128.94         37.0663        42.6262        
81             131.63         97.55          31.7247        36.4835        
82             23.36          108.48         77.1077        88.6739        
83             103.85         125.46         25.7494        29.6119        
84             106.45         29.85          70.4459        81.0128        
85             36.28          92.58          64.1506        73.7731        
86             46.15          75.58          59.1283        67.9976        
87             78.55          10.18          92.3457        106.198        
88             151.49         111.17         52.6877        60.5908        
89             131.43         98.86          31.4507        36.1683        
90             50.42          10.1           102.665        118.065        
91             31.83          111.73         69.1718        79.5476        
92             79.2           178.8          81.499         93.7238        
93             199.38         159.07         115.61         132.951        
94             104.42         118.08         18.6124        21.4043        
95             26.25          181.23         109.715        126.172        
96             73.84          172.82         77.3763        88.9828        
97             133.49         45.13          64.2829        73.9254        
98             55.65          44.5           71.0435        81.7           
99             57.16          9.37           100.245        115.282        
100            82.15          68.06          36.5894        42.0778        
ALPHA
0.479757       0.73696        0.702218       0.85819        0.962074       0.794288       0.651385       0.999887       0.857098       0.999876       0.715384       0.640412       0.773782       0.632831       0.921435       0.520891       0.997176       0.551648       0.995745       0.700775       0.994704       0.621414       0.640875       0.739291       0.939281       0.702803       0.760808       0.63077        0.628241       0.604142       0.99888        0.857186       0.86791        0.868335       0.986589       0.846451       0.808819       0.733861       0.665104       0.722362       0.848922       0.999533       0.739239       0.72882        0.829928       0.727364       0.721974       0.970179       0.960173       0.836564       
0.394193       0.81668        0.668881       0.676522       0.740851       0.831091       0.480752       0.884219       0.641645       0.640013       0.61206        0.51917        0.915496       0.575548       0.680097       0.376528       0.794635       0.466998       0.922131       0.632191       0.931713       0.554629       0.496686       0.63874        0.988543       0.636049       0.905666       0.44516        0.331398       0.522352       0.807796       0.659983       0.625762       0.625971       0.774097       0.593671       0.616048       0.832988       0.412407       0.65673        0.913236       0.735177       0.643729       0.675237       0.920447       0.629056       0.710058       0.652239       0.687522       0.642322       
0.233128       0.388434       0.421699       0.733816       0.987127       0.501585       0.406738       0.926893       0.733923       0.459215       0.472948       0.388629       0.383861       0.3549         0.892384       0.277702       0.894611       0.290044       0.834647       0.438916       0.834683       0.347777       0.393681       0.504599       0.59782        0.440572       0.366736       0.380936       0.273098       0.337328       0.870482       0.733679       0.754776       0.75573        0.982695       0.701045       0.637202       0.369908       0.384041       0.465421       0.562808       0.595753       0.502459       0.467765       0.504601       0.487107       0.433929       0.361523       0.995927       0.690629       
0.324767       0.675593       0.579158       0.646372       0.739196       0.735995       0.431203       0.908935       0.613754       0.622751       0.548591       0.457223       0.751976       0.488951       0.665757       0.32615        0.813716       0.392368       0.953124       0.55616        0.961528       0.471834       0.441125       0.57697        0.998387       0.559588       0.728434       0.398636       0.294292       0.445765       0.830215       0.630933       0.600628       0.600911       0.784149       0.565512       0.579319       0.675848       0.373492       0.582298       0.832675       0.748083       0.580584       0.597557       0.822259       0.565349       0.614593       0.614695       0.68204        0.609615       
0.278538       0.413219       0.996669       0.457322       0.367293       0.740641       0.333469       0.42486        0.385432       0.204882       0.619401       0.454156       0.32441        0.652319       0.351708       0.249337       0.330166       0.39897        0.416868       0.784048       0.429536       0.599523       0.386766       0.655659       0.376317       0.797941       0.306497       0.283194       0.142268       0.51887        0.33188        0.422053       0.342976       0.342766       0.349495       0.319211       0.410533       0.357813       0.209831       0.824176       0.672759       0.248204       0.678866       0.90137        0.524199       0.654653       0.874821       0.186039       0.304067       0.420857       
0.261076       0.311861       0.502728       0.6631         0.427986       0.477231       0.581974       0.441124       0.532515       0.214283       0.873806       0.732527       0.26989        0.432787       0.433453       0.359676       0.351864       0.360237       0.413218       0.637199       0.422901       0.439223       0.753988       0.915491       0.34113        0.634196       0.257284       0.449296       0.170345       0.451986       0.350231       0.599392       0.450871       0.450273       0.385898       0.421668       0.627457       0.28275        0.2788         0.681837       0.479782       0.257546       0.888056       0.643658       0.393558       0.874706       0.477904       0.188959       0.348039       0.618507       
0.157892       0.266471       0.308548       0.609995       0.952818       0.372065       0.288701       0.752069       0.582122       0.250095       0.357308       0.281297       0.253992       0.252819       0.719048       0.188665       0.571027       0.201443       0.623972       0.326204       0.632835       0.247393       0.282975       0.387195       0.40506        0.327626       0.240851       0.262887       0.158496       0.239307       0.557148       0.598965       0.567393       0.567983       0.719362       0.498772       0.496185       0.249083       0.24113        0.35027        0.422716       0.328331       0.385328       0.351816       0.361851       0.370706       0.317323       0.205493       0.579618       0.552418       
0.671944       0.826079       0.9772         0.660277       0.591202       0.976312       0.547804       0.666938       0.595444       0.407168       0.792552       0.686847       0.676421       0.923637       0.568333       0.466669       0.565951       0.765983       0.670469       0.892211       0.683503       0.886535       0.612551       0.810112       0.663134       0.897747       0.654824       0.488146       0.285657       0.815971       0.569967       0.629469       0.553832       0.553646       0.580466       0.527057       0.617123       0.755419       0.387474       0.902991       0.931558       0.471223       0.824213       0.933463       0.858431       0.812142       0.998257       0.386224       0.523147       0.627341       
0.192722       0.304025       0.359213       0.779408       0.904373       0.416585       0.374863       0.727155       0.796677       0.301423       0.431692       0.347842       0.289738       0.300077       0.999988       0.241144       0.605944       0.244365       0.628136       0.385945       0.635029       0.295312       0.357521       0.465143       0.438431       0.387123       0.276026       0.347299       0.210956       0.288488       0.590666       0.787561       0.83547        0.836984       0.727841       0.746184       0.65547        0.28519        0.333493       0.412353       0.462532       0.382792       0.461147       0.411137       0.400206       0.4454         0.365611       0.246592       0.694588       0.727468       
0.185338       0.444993       0.407694       0.422113       0.436581       0.598294       0.25657        0.602544       0.375875       0.247603       0.372299       0.288216       0.422048       0.317818       0.387999       0.184771       0.438971       0.236779       0.640623       0.384995       0.668109       0.30315        0.270659       0.399935       0.665996       0.388583       0.387927       0.228677       0.139669       0.281192       0.448002       0.400018       0.350383       0.350427       0.445314       0.322032       0.363377       0.410226       0.195381       0.412139       0.758849       0.318545       0.404805       0.429382       0.705157       0.38936        0.444499       0.222928       0.361771       0.385851       
0.192287       0.313172       0.360241       0.723181       0.986164       0.424979       0.358452       0.793465       0.723838       0.319117       0.42133        0.339139       0.301196       0.299938       0.934905       0.234948       0.674318       0.243065       0.682201       0.382323       0.687912       0.294416       0.345435       0.453518       0.466812       0.38369        0.286756       0.331658       0.209937       0.286358       0.654955       0.724078       0.743721       0.744873       0.819502       0.667964       0.607473       0.294584       0.319669       0.408243       0.476217       0.411914       0.450561       0.408656       0.41457        0.435139       0.368702       0.258961       0.790716       0.671119       
0.163699       0.339328       0.341448       0.442487       0.506328       0.462243       0.248902       0.7716         0.400615       0.256948       0.341538       0.266006       0.331832       0.271712       0.433574       0.174105       0.527025       0.208279       0.8621         0.337192       0.900285       0.261831       0.255973       0.368269       0.650762       0.339703       0.310351       0.223856       0.14006        0.246906       0.541218       0.422865       0.378386       0.378533       0.531055       0.344476       0.373811       0.317741       0.19774        0.361575       0.563027       0.345496       0.370526       0.371495       0.496252       0.356276       0.363454       0.22214        0.411144       0.402592       
0.226055       0.360718       0.408191       0.78433        0.991343       0.475772       0.418581       0.843072       0.799607       0.397997       0.474859       0.389961       0.350585       0.344317       0.973808       0.278653       0.765958       0.282812       0.744808       0.432095       0.748169       0.338533       0.39966        0.507709       0.531861       0.433454       0.334928       0.393067       0.268511       0.330233       0.744881       0.790894       0.837159       0.838374       0.886903       0.779381       0.680445       0.341505       0.399348       0.458929       0.528681       0.503613       0.504249       0.458935       0.467771       0.488673       0.417021       0.319328       0.920474       0.741385       
0.610344       0.538187       0.788451       0.819769       0.628462       0.719425       0.865175       0.638805       0.730619       0.382347       0.993312       0.998001       0.472711       0.760993       0.637608       0.898832       0.550202       0.751175       0.613678       0.905574       0.623239       0.783326       0.973359       0.995939       0.544479       0.902078       0.456166       0.765117       0.335187       0.827815       0.548391       0.778939       0.660838       0.66023        0.585998       0.637397       0.807198       0.497328       0.510311       0.919853       0.705919       0.439934       0.991366       0.891978       0.620361       0.991036       0.75048        0.346173       0.548726       0.795434       
0.424606       0.664101       0.648072       0.84831        0.971722       0.740195       0.614562       0.998327       0.850657       0.981291       0.674792       0.595993       0.692196       0.576516       0.927867       0.475841       0.99995        0.496708       0.983534       0.652868       0.981773       0.566152       0.599884       0.701071       0.891438       0.6548         0.676342       0.594219       0.589814       0.55074        0.999106       0.848833       0.865919       0.866434       0.994946       0.842025       0.792289       0.655952       0.636092       0.676428       0.799076       0.985377       0.700236       0.68161        0.770363       0.687357       0.666218       0.88824        0.972982       0.82451        
0.162437       0.236888       0.31446        0.992557       0.512156       0.34676        0.366923       0.47426        0.822762       0.197774       0.424278       0.3308         0.216479       0.261087       0.547441       0.214768       0.368182       0.211748       0.419421       0.355611       0.428366       0.25871        0.346733       0.464308       0.308312       0.356188       0.205903       0.325622       0.150834       0.255561       0.363018       0.986876       0.602198       0.600768       0.426499       0.534565       0.822268       0.218569       0.259013       0.383857       0.374828       0.245477       0.456467       0.377228       0.312287       0.438565       0.314137       0.167451       0.383732       0.968078       
0.301023       0.407594       0.497805       0.984292       0.836873       0.535949       0.649329       0.739295       0.99999        0.412709       0.627593       0.542829       0.38646        0.435303       0.90521        0.421731       0.658395       0.374109       0.673471       0.547486       0.679237       0.43361        0.583339       0.662548       0.526677       0.547747       0.371394       0.643689       0.396185       0.432736       0.647067       0.994556       0.978617       0.977965       0.736401       0.980393       0.947159       0.384582       0.789718       0.576351       0.570746       0.487273       0.653629       0.567721       0.50499        0.638609       0.496984       0.346047       0.731434       0.978278       
0.926369       0.636109       0.94148        0.734913       0.600809       0.834459       0.692713       0.640043       0.655413       0.387665       0.959451       0.904017       0.540185       0.952435       0.594863       0.642808       0.54723        0.990894       0.627144       0.999348       0.638121       0.973987       0.800971       0.961545       0.582745       0.998781       0.521795       0.609025       0.309352       0.997888       0.547924       0.69756        0.599454       0.59906        0.573184       0.574389       0.705632       0.582761       0.442299       0.999667       0.797326       0.446117       0.971421       0.993324       0.706976       0.968232       0.898525       0.358746       0.527683       0.704999       
0.164972       0.26654        0.317606       0.69894        0.848305       0.373459       0.31717        0.67614        0.68766        0.250169       0.380561       0.301021       0.252209       0.262147       0.897269       0.203093       0.528856       0.210771       0.573107       0.340929       0.581768       0.257442       0.306567       0.412477       0.388297       0.342151       0.239614       0.289718       0.169216       0.250545       0.516545       0.696278       0.681962       0.682834       0.647391       0.589121       0.567139       0.248839       0.266245       0.365945       0.418182       0.321731       0.40932        0.365578       0.357083       0.394069       0.324178       0.206072       0.572489       0.636816       
0.176711       0.319969       0.344897       0.565691       0.780399       0.430945       0.296948       0.979064       0.535107       0.313165       0.375462       0.297963       0.313025       0.282015       0.632769       0.201745       0.851089       0.223353       0.854358       0.354254       0.854432       0.274557       0.295376       0.404431       0.533205       0.356129       0.296423       0.271252       0.175424       0.263353       0.834001       0.55209        0.523072       0.523541       0.890597       0.47229        0.473569       0.301682       0.252081       0.378841       0.499158       0.429559       0.404148       0.383662       0.437937       0.389539       0.359064       0.255876       0.634133       0.517529       
0.143885       0.264418       0.292161       0.478011       0.6106         0.370817       0.242452       0.965725       0.437883       0.230639       0.318338       0.247677       0.253702       0.235374       0.496849       0.163107       0.563534       0.183807       0.754414       0.30054        0.767162       0.228742       0.243685       0.345125       0.435969       0.302301       0.239263       0.218843       0.133933       0.218714       0.564582       0.459996       0.415872       0.416131       0.631868       0.37181        0.392617       0.246852       0.196199       0.323258       0.434677       0.31118        0.345237       0.328          0.371842       0.331573       0.304883       0.192218       0.453671       0.430764       
0.305261       0.577162       0.53641        0.684537       0.829497       0.664143       0.44021        0.979707       0.662605       0.777919       0.537239       0.449214       0.615742       0.454923       0.742518       0.325546       0.932031       0.370094       0.999414       0.529247       0.999943       0.441756       0.441279       0.566385       0.91835        0.531987       0.593329       0.4109         0.318168       0.421836       0.947003       0.674106       0.659663       0.660118       0.89066        0.621459       0.611286       0.567613       0.400833       0.55543        0.750425       0.929277       0.567905       0.565736       0.719348       0.552844       0.562684       0.698988       0.787909       0.647286       
0.676          0.749807       0.818782       0.998815       0.965          0.834546       0.939226       0.931942       0.999711       0.806564       0.89994        0.871707       0.736185       0.782186       0.981297       0.843625       0.911534       0.745024       0.907576       0.853955       0.909017       0.783765       0.90218        0.912475       0.837045       0.85365        0.723863       0.950986       0.959713       0.788795       0.906424       0.999867       0.995015       0.994903       0.937677       0.995575       0.994868       0.73211        0.999863       0.867755       0.852353       0.84192        0.907911       0.861079       0.81632        0.902845       0.815389       0.745116       0.943138       0.998407       
0.40621        0.491244       0.607113       0.999579       0.830345       0.625985       0.851726       0.764249       0.981659       0.482388       0.764306       0.700499       0.463511       0.549551       0.878517       0.612368       0.694531       0.493214       0.713376       0.670633       0.718946       0.551626       0.762318       0.792632       0.591489       0.670043       0.447893       0.879644       0.539142       0.558008       0.685841       0.994886       0.93845        0.937733       0.755127       0.93571        0.998151       0.46524        0.9518         0.69708        0.650896       0.550001       0.782172       0.683691       0.58509        0.770841       0.599895       0.416323       0.748061       0.999698       
0.415          0.430904       0.793901       0.598126       0.448693       0.66464        0.509827       0.486856       0.50457        0.252423       0.930979       0.783123       0.356885       0.746839       0.442382       0.400997       0.393008       0.638292       0.470146       0.979671       0.481482       0.784107       0.627392       0.937632       0.415684       0.975218       0.340518       0.424036       0.192037       0.862263       0.393273       0.552742       0.445433       0.445046       0.419633       0.419136       0.557793       0.385122       0.291211       0.986518       0.633051       0.300196       0.957222       0.953484       0.522019       0.950236       0.726608       0.228279       0.376058       0.559868       
