NUM_DRIVERS: 50
NUM_TASKS: 100
PENALTY: 20%
UTILITY: 100%
DRIVERS
ID             X              Y              
1              26.86          6.64           
2              113.32         21.86          
3              181.29         138.08         
4              0.8            86.1           
5              92.67          192.26         
6              75.74          23.19          
7              69.49          77.69          
8              164.67         38.68          
9              56.46          174.19         
10             13.64          62.91          
11             95.38          101.29         
12             51.05          13.72          
13             37.25          73.21          
14             64.74          153.83         
15             81.22          60.6           
16             7.58           65.71          
17             174.59         115.95         
18             131.38         140.39         
19             35.59          186.38         
20             20.38          105.68         
21             172.96         147.55         
22             90.07          119.08         
23             71.17          4.17           
24             167.08         7.22           
25             188.34         94.68          
26             121.06         87.94          
27             16.16          87.02          
28             139.4          95.67          
29             23.11          108.81         
30             141.45         61.94          
31             149.48         88.78          
32             151.71         2.35           
33             5.63           62.81          
34             103.43         20.52          
35             76.68          59.74          
36             194.54         120.84         
37             14.27          101.87         
38             42.43          10.08          
39             76.96          75.97          
40             50.44          130.28         
41             27.77          59.33          
42             143.73         70.47          
43             71.12          173.34         
44             98.61          86.73          
45             50.13          47.5           
46             53.58          172.01         
47             190.42         128.19         
48             188.28         79.67          
49             191.73         158.35         
50             170.2          54.71          
TASKS
ID             X              Y              COST           PENALIZED_COST 
1              72.89          101.55         27.1543        32.5851        
2              154.5          7.19           107.629        129.154        
3              146.98         124.33         52.9062        63.4875        
4              194.51         69.49          99.3126        119.175        
5              148.03         188.39         100.597        120.716        
6              40.14          139.87         71.9224        86.3069        
7              75.46          188.27         91.6177        109.941        
8              49.4           198.29         110.55         132.66         
9              170.99         52.22          85.5717        102.686        
10             76.66          117.64         29.2562        35.1074        
11             125.12         167.27         71.8072        86.1686        
12             85.28          110.57         18.1219        21.7463        
13             95.16          133.87         34.2141        41.0569        
14             8.78           163.04         110.883        133.06         
15             185.24         82.62          86.9938        104.393        
16             20.31          80.77          81.9774        98.3728        
17             144.08         167.75         80.8276        96.9932        
18             2.91           40.33          113.96         136.753        
19             58.63          105.3          41.7081        50.0497        
20             122.21         148.81         53.6256        64.3507        
21             164.81         113.49         66.1991        79.4389        
22             172.13         184.09         110.787        132.945        
23             79.04          199.27         101.459        121.75         
24             8.31           50.01          104.432        125.318        
25             142.47         137.4          56.5903        67.9083        
26             9.15           110.78         91.4873        109.785        
27             86.25          177.41         78.6217        94.346         
28             91.11          84.62          17.7645        21.3174        
29             87.34          11             89.8959        107.875        
30             56.22          40.65          73.7503        88.5004        
31             80.27          30.16          72.5734        87.0881        
32             170.99         162.69         94.7081        113.65         
33             176.63         107.12         76.9601        92.3521        
34             4.39           91.56          95.9818        115.178        
35             10.05          148.2          102.05         122.46         
36             116.48         4.39           97.0199        116.424        
37             22.9           163.48         99.8705        119.845        
38             190.2          134.82         96.6875        116.025        
39             59.04          130.88         51.2962        61.5554        
40             36.91          100.61         63.0929        75.7115        
41             58.16          156.09         69.9762        83.9715        
42             1.37           113.04         99.4883        119.386        
43             88.23          107.16         13.7767        16.5321        
44             47.68          36.08          82.6024        99.1228        
45             60.25          111.15         41.2842        49.541         
46             33.6           32.73          94.521         113.425        
47             11.77          4.79           129.806        155.767        
48             126.73         118.74         32.6448        39.1737        
49             160.8          120.53         64.1726        77.0071        
50             11.61          31.53          111.808        134.169        
51             50.33          40.3           77.6608        93.193         
52             132.83         191.2          96.9291        116.315        
53             23.72          88.97          77.0733        92.488         
54             143.6          21.28          89.9878        107.985        
55             157.96         124.43         62.8982        75.4779        
56             126.13         199.21         102.593        123.112        
57             19.78          86.9           81.2826        97.5391        
58             147.37         188.66         100.521        120.625        
59             77.07          177.18         80.5142        96.617         
60             65.69          71.36          44.6926        53.6311        
61             180.78         67.74          86.9834        104.38         
62             74.22          11.94          91.756         110.107        
63             29.52          73.27          75.3785        90.4542        
64             149.59         134.1          60.1829        72.2194        
65             52.91          112.72         48.7777        58.5333        
66             96.74          6.5            93.5568        112.268        
67             88.56          96.74          11.8954        14.2745        
68             168.18         44.63          87.8314        105.398        
69             144.66         102.82         44.7489        53.6987        
70             96.79          57.65          42.4715        50.9658        
71             94.51          111.87         13.0781        15.6937        
72             22.84          44.72          94.9186        113.902        
73             53.25          40.81          75.4256        90.5107        
74             102.32         120.73         20.8594        25.0313        
75             127.13         92.22          28.2235        33.8682        
76             152.09         43.04          77.1868        92.6242        
77             173.42         17.75          110.252        132.303        
78             43.02          26.9           92.684         111.221        
79             41.72          15.6           102.567        123.08         
80             116.12         132.79         36.5382        43.8458        
81             70.13          140.58         50.388         60.4656        
82             19.59          91.45          80.8633        97.0359        
83             175.29         147.86         89.2141        107.057        
84             108.87         109.21         12.7868        15.3441        
85             30.83          181.78         107.11         128.531        
86             63.14          87.49          38.9251        46.7101        
87             167.31         94.8           67.5106        81.0127        
88             199.68         40.42          116.129        139.354        
89             111.29         32.63          68.3095        81.9713        
90             167.17         1.39           119.314        143.176        
91             34.61          80.29          68.2959        81.9551        
92             196.55         150.56         108.987        130.785        
93             34.84          194.89         115.108        138.13         
94             33.07          167.42         95.0004        114.001        
95             163.39         56.8           76.7107        92.0528        
96             97.71          175.78         75.8146        90.9775        
97             128.79         199.76         103.831        124.597        
98             164.36         99.06          64.3669        77.2402        
99             124.56         132.85         41.016         49.2193        
100            191.62         64.82          98.142         117.77         
ALPHA
