NUM_DRIVERS: 50
NUM_TASKS: 100
PENALTY: 5%
UTILITY: 0%
DRIVERS
ID             X              Y              
1              138.44         175.53         
2              155.19         23.69          
3              3.66           66.97          
4              45.95          94.95          
5              92.45          97.79          
6              133.18         147.12         
7              168.86         180.97         
8              139.29         103.5          
9              93.64          136.46         
10             165.67         91.29          
11             79.85          147.61         
12             170.79         115.09         
13             156.42         197.72         
14             90.15          153.8          
15             177.16         38.78          
16             100.74         145.02         
17             36.43          60.68          
18             108.12         2.35           
19             16.11          87.58          
20             169.62         183.9          
21             94.28          107.18         
22             147.52         183.28         
23             170.4          83.17          
24             27.63          163.34         
25             78.95          16.44          
26             141.02         103.35         
27             166.09         88.68          
28             24.67          11.21          
29             32.61          153            
30             64.49          160.18         
31             41.79          72.86          
32             15.72          136.3          
33             2.32           56.29          
34             3.91           189.77         
35             188.45         121.69         
36             193.99         199.86         
37             33.13          124.8          
38             97.12          19.49          
39             30.39          182.38         
40             114.36         41.52          
41             54.57          41.36          
42             71.45          9.12           
43             153.29         4.41           
44             11.15          149.4          
45             65.23          54.56          
46             195.2          0.94           
47             78.75          32.31          
48             115.07         164.06         
49             149.86         81.66          
50             170.59         47.58          
TASKS
ID             X              Y              COST           PENALIZED_COST 
1              74.44          20.32          83.6792        87.8632        
2              8.76           120.45         93.5037        98.1789        
3              141.94         50.73          64.7031        67.9383        
4              131.54         108.4          32.6394        34.2714        
5              49.97          76.68          55.198         57.9579        
6              60.01          198.39         106.206        111.517        
7              116.97         56.6           46.5998        48.9298        
8              66.69          171.63         78.9963        82.9461        
9              124.4          97.91          24.4893        25.7138        
10             109.17         95.25          10.3272        10.8436        
11             175.96         120.49         78.675         82.6088        
12             141.37         42.57          70.7791        74.3181        
13             146.39         140.63         61.6671        64.7504        
14             186.33         60.33          95.0083        99.7587        
15             91.02          58.78          42.1868        44.2962        
16             118.06         123.76         29.8446        31.3368        
17             164.09         126.44         69.3297        72.7961        
18             44.82          100.76         55.1852        57.9445        
19             82.33          81.19          25.8078        27.0982        
20             7.72           119.52         94.3219        99.038         
21             140.14         173.97         84.1593        88.3672        
22             191.37         180.63         121.859        127.952        
23             42.67          116.22         59.5803        62.5594        
24             132.21         120.92         38.4074        40.3278        
25             184.66         98.73          84.6695        88.903         
26             159.14         188.06         106.076        111.38         
27             14.24          114.69         87.009         91.3595        
28             77.88          85.15          26.6424        27.9745        
29             81.29          108.62         20.6002        21.6302        
30             131.87         158.59         66.697         70.0318        
31             84.67          149.97         52.2686        54.8821        
32             64.2           123.29         42.7091        44.8445        
33             39.55          34.11          89.4186        93.8896        
34             32.63          34.64          93.865         98.5583        
35             104.66         61.82          38.4633        40.3865        
36             182.7          20.56          114.673        120.407        
37             41.35          51.34          76.2077        80.0181        
38             162.86         135.45         72.167         75.7754        
39             4.03           89.97          96.4927        101.317        
40             184.96         62.25          92.9692        97.6176        
41             86.99          52.36          49.3845        51.8537        
42             88.41          160.55         61.6493        64.7317        
43             152.14         126.43         58.4562        61.379         
44             66.59          124.79         41.6026        43.6827        
45             78.87          97.66          21.2592        22.3221        
46             46.66          144.41         69.4075        72.8779        
47             14.32          178.08         115.92         121.716        
48             182.68         115.14         84.0548        88.2575        
49             154.34         188.71         104.03         109.232        
50             21.51          199.24         126.528        132.854        
51             15.84          75.32          87.7041        92.0893        
52             86.78          198.39         99.2742        104.238        
53             135.95         167.08         76.106         79.9113        
54             146.87         9.87           101.588        106.668        
55             90.5           154.2          55.0263        57.7776        
56             156.76         100.87         56.7667        59.605         
57             135.97         197.39         103.82         109.011        
58             103.74         76.38          23.9143        25.11          
59             138.16         13.43          94.6073        99.3377        
60             117.66         44.23          58.4993        61.4243        
61             162.92         173.13         96.4724        101.296        
62             162.01         95.95          62.1421        65.2492        
63             121.99         59.73          45.8828        48.177         
64             198.68         125.97         102.04         107.142        
