NUM_DRIVERS: 150
NUM_TASKS: 100
PENALTY: 20%
UTILITY: 50%
DRIVERS
ID             X              Y              
1              172.69         182.27         
2              153.46         70.57          
3              176.16         82.05          
4              44.83          173.5          
5              144.26         8.7            
6              138.45         24.6           
7              171.74         53.33          
8              46.62          153.32         
9              174.35         81.22          
10             82.6           58.37          
11             155.23         18.46          
12             74.38          168.57         
13             111.68         119.35         
14             15.24          89.83          
15             171.3          58.34          
16             137.38         178.3          
17             67.17          27.48          
18             83.68          84.44          
19             70.78          111.95         
20             0.97           58.4           
21             29.36          180.55         
22             147.94         136.99         
23             19.82          31.53          
24             73.89          102.8          
25             139.86         16.43          
26             56.15          152.12         
27             93.54          41.13          
28             18.24          91.94          
29             28.31          61.11          
30             52.59          30.43          
31             133.2          91.28          
32             138.8          70.32          
33             84.27          23.74          
34             147.61         90.18          
35             47.41          127.52         
36             78.69          16.87          
37             76.16          137.95         
38             177.59         146.45         
39             79.31          43.85          
40             13.17          102.82         
41             103.11         36.21          
42             93             155.36         
43             104.98         9.56           
44             30.1           15.95          
45             142.15         170.81         
46             74.07          118.5          
47             90.67          84.72          
48             123.55         115.51         
49             56.76          82.45          
50             41.44          168.01         
51             121.52         95.07          
52             133.21         177.81         
53             40.29          118.98         
54             172.6          0.55           
55             87.02          53.85          
56             0.3            103.95         
57             140.27         92             
58             81.92          56.67          
59             61.49          123.1          
60             73.65          130.34         
61             177.96         62.39          
62             132.06         153.65         
63             42.58          105.06         
64             166.73         183.64         
65             114.37         51.13          
66             186.78         58.6           
67             38.49          0.77           
68             1.2            121.57         
69             16.66          174.3          
70             12.41          49.85          
71             60.85          138.31         
72             113.41         18.7           
73             173.69         116.74         
74             82.39          10.88          
75             87.73          28.39          
76             46.38          159.17         
77             72.09          55.29          
78             89.08          31.92          
79             178.29         158.43         
80             95.17          91.02          
81             154.83         49.2           
82             61.46          188.46         
83             164.21         153.84         
84             50.19          146.63         
85             149.76         32.63          
86             146.56         14.85          
87             126.25         19.46          
88             57             173.58         
89             73             66.92          
90             197.54         25.05          
91             132.99         130.33         
92             93.16          142.12         
93             22.08          59.19          
94             77.61          184.96         
95             96.94          3.04           
96             123.13         100.61         
97             131.59         58.96          
98             72.87          106.52         
99             133.21         185.64         
100            10.93          108.54         
101            97.09          113.22         
102            42.21          184.06         
103            13.66          193.53         
104            166.91         107.61         
105            126.24         152.15         
106            36.05          154.64         
107            159.48         19.84          
108            176.44         21.45          
109            182.92         128.57         
110            75.46          7.11           
111            21.08          34.54          
112            72.78          1.08           
113            101.69         156.93         
114            141.43         90.45          
115            124.33         183.19         
116            6.49           4.2            
117            153            20.99          
118            107.67         161.37         
119            97.27          87.79          
120            28.03          137.71         
121            113.35         6.94           
122            38.28          184.26         
123            135.22         95.81          
124            87.63          79.31          
125            116.86         130.08         
126            151.8          198.97         
127            0.35           4.83           
128            104.17         14.97          
129            96.75          47.93          
130            132.36         53.06          
131            121.98         128.88         
132            117.94         158.76         
133            164.23         59.67          
134            82.88          13.99          
135            40.42          151.5          
136            178.68         99.95          
137            174.14         141.24         
138            160.72         73.06          
139            34.32          64.54          
140            20.29          132.9          
141            183.51         43.85          
142            167.19         162.99         
143            76.8           180            
144            54.75          47.37          
145            138.67         99.03          
146            76.02          182.15         
147            199.53         31.69          
148            65.18          36.95          
149            102.53         137.4          
150            114.65         159.62         
TASKS
ID             X              Y              COST           PENALIZED_COST 
1              61.55          14.81          93.4652        112.158        
2              51.53          22.37          91.5192        109.823        
3              110.46         124.79         26.9064        32.2877        
4              11.28          134.22         95.0907        114.109        
5              93.71          73.18          27.5477        33.0573        
6              96.75          36.64          63.4433        76.132         
7              162.48         5.34           113.421        136.105        
8              74.06          98.09          26.0102        31.2123        
9              109.31         119.19         21.3291        25.595         
10             34.05          191.23         112.571        135.086        
11             125            71.68          37.776         45.3311        
12             176.43         35.89          99.7579        119.709        
13             56.07          198.5          107.852        129.423        
14             79.7           6.14           96.0301        115.236        
15             152.51         144.62         68.9075        82.689         
16             133.8          8.88           97.1869        116.624        
17             40.92          56.45          73.3965        88.0758        
18             71.5           11.58          92.8997        111.48         
19             71.9           131.57         42.2643        50.7172        
20             138.06         180.2          88.7728        106.527        
21             107.16         96.39          8.01858        9.6223         
22             142.16         143.63         60.6716        72.8059        
23             107.67         134.07         34.9227        41.9072        
24             149.79         73.91          56.2115        67.4538        
25             84.02          197.46         98.7614        118.514        
26             34.28          71.59          71.5978        85.9174        
27             154.06         55.78          69.8419        83.8103        
28             176.39         59.04          86.6785        104.014        
29             109.82         145.11         46.1665        55.3998        
30             55.54          104.74         44.712         53.6543        
31             97.66          179.74         79.7743        95.7292        
32             185.7          110.91         86.3917        103.67         
33             69.74          36.19          70.6214        84.7457        
34             190.83         197.54         133.282        159.939        
35             139.05         16.9           91.8178        110.181        
36             177.89         56.03          89.4439        107.333        
37             36.08          77.36          67.811         81.3732        
38             125.88         133.52         42.3481        50.8178        
39             197.91         106.49         98.1249        117.75         
40             26.06          46.19          91.4475        109.737        
41             66.13          126.46         42.9803        51.5764        
42             173.02         107.74         73.4291        88.1149        
43             155.52         142.87         70.1449        84.1739        
44             165.46         155.53         85.8405        103.009        
45             120.66         35.02          68.1853        81.8224        
46             98.25          156.8          56.827         68.1923        
47             156.07         191.58         107.381        128.858        
48             176.85         176.28         108.28         129.936        
49             41.54          188.78         106.299        127.559        
50             61.42          33.91          76.5265        91.8318        
51             66.11          29.95          77.8173        93.3808        
52             39.74          30.23          92.1907        110.629        
53             47.14          128.83         60.2109        72.253         
