NUM_DRIVERS: 50
NUM_TASKS: 100
PENALTY: 0%
UTILITY: 90%
DRIVERS
ID             X              Y              
1              134.66         133.05         
2              181.9          147.55         
3              26.98          29.67          
4              104.89         90.85          
5              127.22         90.98          
6              54.13          50.64          
7              7.27           198.36         
8              10.06          189.69         
9              101.2          108.1          
10             114.8          164.4          
11             88.01          70.59          
12             65.29          147.55         
13             64.09          86.1           
14             180.88         81.71          
15             5.53           77.72          
16             149.44         131.08         
17             69.18          134.53         
18             120.04         162.85         
19             162.25         9.8            
20             157.86         167.59         
21             83.75          83.63          
22             126.54         30.93          
23             174.85         190.99         
24             10.59          57.02          
25             54.05          120.58         
26             166.02         129.83         
27             20.96          155.84         
28             115.71         185.02         
29             87.21          23.97          
30             94.57          104.5          
31             84.2           98.05          
32             75.3           158.41         
33             163.41         187.01         
34             43.8           58.45          
35             160.61         3.68           
36             191.86         28.68          
37             153.04         79.52          
38             3.54           79.78          
39             77.22          66             
40             185.09         192.28         
41             197.88         43.32          
42             162.89         76.64          
43             100.95         80.07          
44             176.52         16.07          
45             34.82          171.76         
46             42.86          79.58          
47             120.06         86.95          
48             106.04         11.11          
49             196.97         62.33          
50             121.67         7.54           
TASKS
ID             X              Y              COST           PENALIZED_COST 
1              43.19          108.6          57.4573        57.4573        
2              12.63          111.77         88.1592        88.1592        
3              104.37         157.39         57.5561        57.5561        
4              100.72         129.22         29.2289        29.2289        
5              24.1           94.22          76.1198        76.1198        
6              17.46          113.91         83.7039        83.7039        
7              86.71          168.34         69.6203        69.6203        
8              38.62          178            99.2547        99.2547        
9              6.22           33.43          115.005        115.005        
10             62.77          77.34          43.5838        43.5838        
11             90.41          30.8           69.8613        69.8613        
12             57.26          192.73         102.106        102.106        
13             159.12         195.71         112.497        112.497        
14             164.96         188.21         109.548        109.548        
15             176.6          117.39         78.5492        78.5492        
16             26.07          17.47          110.801        110.801        
17             27.51          74.84          76.7322        76.7322        
18             57.03          52.8           63.8299        63.8299        
19             70.76          101.62         29.2848        29.2848        
20             66.99          18.62          87.8201        87.8201        
21             35.12          73.25          70.1782        70.1782        
22             110.14         28.99          71.7303        71.7303        
23             102.65         131.2          31.3123        31.3123        
24             115.52         72.21          31.8301        31.8301        
25             109.72         54.75          46.2822        46.2822        
26             178.29         124.7          82.0939        82.0939        
27             199.01         7.25           135.667        135.667        
28             187.16         158.11         104.755        104.755        
29             78.75          51.24          53.1893        53.1893        
30             181.57         26.67          109.686        109.686        
31             37.44          115.93         64.5563        64.5563        
32             175.19         99.27          75.1935        75.1935        
33             135.39         180.11         87.5789        87.5789        
34             9.9            142.9          99.7919        99.7919        
35             109.19         55.52          45.4195        45.4195        
36             191.89         12.84          126.652        126.652        
37             81.7           47.26          55.8247        55.8247        
38             176.3          47.31          92.725         92.725         
39             157.18         56.32          71.9548        71.9548        
40             8.7            40.42          109.02         109.02         
41             164.69         58.73          76.7334        76.7334        
42             129.34         8.55           96.0413        96.0413        
43             120.66         136.55         41.985         41.985         
44             196.48         152.72         109.944        109.944        
45             80.61          62.54          42.1808        42.1808        
46             27             142.29         84.3649        84.3649        
47             13.97          118.05         87.9031        87.9031        
48             113.27         1.96           98.934         98.934         
49             23.4           82.46          78.5825        78.5825        
50             60.15          184            92.9732        92.9732        
51             154.17         146.2          71.1957        71.1957        
52             164.18         149.89         81.2901        81.2901        
53             61.15          158.08         69.8757        69.8757        
54             13.98          136.27         93.3539        93.3539        
55             176.45         66.46          83.4837        83.4837        
56             81.36          136.92         41.3586        41.3586        
57             165.92         158.35         88.035         88.035         
58             106.81         39.59          60.7926        60.7926        
59             110.71         178.75         79.4749        79.4749        
60             59.52          138.41         55.8029        55.8029        
61             30.43          159.14         91.31          91.31          
62             101.22         7.36           92.648         92.648         
63             151.38         176.77         92.3771        92.3771        
64             125.91         45.73          60.1378        60.1378        
65             144.7          82.61          47.9635        47.9635        
66             62.21          46.18          65.7623        65.7623        
67             133.65         5.15           100.642        100.642        
68             187.57         41.55          105.285        105.285        
69             99.14          0.33           99.6737        99.6737        
70             53.94          10.1           101.013        101.013        
71             52.74          171.7          85.8743        85.8743        
72             110.82         101.6          10.9377        10.9377        
73             126.7          167.6          72.6818        72.6818        
74             166.1          187.18         109.405        109.405        
75             179.63         10.4           119.871        119.871        
76             119.93         22.28          80.2347        80.2347        
77             3.19           43.45          112.116        112.116        
78             111.11         197.21         97.8428        97.8428        
79             120.51         21.4           81.2319        81.2319        
80             76.06          142.5          48.7788        48.7788        
81             124.87         64.87          43.0422        43.0422        
82             84.45          54.14          48.4246        48.4246        
83             170.37         14.8           110.503        110.503        
84             148.58         14.26          98.5463        98.5463        
85             110.35         114.73         18.0026        18.0026        
86             126.65         106.9          27.5288        27.5288        
87             63.69          112.56         38.421         38.421         
88             78.53          2.42           99.914         99.914         
89             116            104.25         16.5548        16.5548        
90             178.63         136.7          86.7731        86.7731        
91             96.07          64.41          35.8063        35.8063        
92             42.33          176.3          95.6427        95.6427        
93             171.71         35.38          96.5301        96.5301        
94             22.33          134.84         85.1261        85.1261        
95             106.53         21.33          78.9405        78.9405        
96             53.81          181.99         94.1057        94.1057        
97             31.76          21.6           103.939        103.939        
98             82.29          61.01          42.8236        42.8236        
99             137.16         148.94         61.4491        61.4491        
100            93.22          149.15         49.6154        49.6154        
ALPHA
0.283311       0.422923       0.661019       0.0767488      0.180079       0.52082        0.789305       0.788092       0.0638227      0.401178       0.245939       0.518229       0.393071       0.377399       0.822876       0.3165         0.442342       0.391819       0.464885       0.429565       0.197544       0.388561       0.498369       0.753602       0.615445       0.358038       0.794205       0.47794        0.453961       0.0582297      0.143562       0.488999       0.482108       0.584536       0.476554       0.462621       0.299086       0.833069       0.328926       0.508433       0.451709       0.332944       0.147337       0.46516        0.720055       0.631496       0.156849       0.462296       0.429388       0.460969       
0.203284       0.326349       0.53202        0.0510898      0.126127       0.374246       0.695548       0.688146       0.0416818      0.292833       0.164226       0.348981       0.237911       0.288065       0.710545       0.232223       0.279346       0.286682       0.366372       0.328519       0.126087       0.292285       0.394651       0.624591       0.347213       0.268752       0.654822       0.362572       0.341211       0.0372434      0.0889752      0.343253       0.37752        0.419569       0.37737        0.366335       0.22035        0.730555       0.220134       0.405659       0.356365       0.249017       0.0986691      0.367766       0.573545       0.412725       0.108549       0.355616       0.335563       0.357607       
0.447058       0.628058       0.441017       0.0752407      0.201961       0.34548        0.74664        0.726997       0.068908       0.848094       0.195937       0.541447       0.248537       0.451831       0.473453       0.478915       0.418566       0.800684       0.456457       0.714898       0.154754       0.358139       0.781791       0.458052       0.377918       0.521255       0.617799       0.890081       0.361257       0.0570029      0.11917        0.658742       0.783901       0.362416       0.462966       0.490963       0.342544       0.479993       0.240908       0.776461       0.496431       0.383894       0.133065       0.472734       0.678581       0.348414       0.166033       0.393364       0.492091       0.410117       
0.68002        0.757942       0.595914       0.137667       0.340684       0.502932       0.836305       0.827146       0.146354       0.886013       0.320376       0.766553       0.403879       0.60967        0.635511       0.673954       0.680503       0.872929       0.603024       0.816628       0.266574       0.508921       0.843442       0.616976       0.590849       0.689733       0.768641       0.894332       0.512688       0.116029       0.222117       0.840146       0.846331       0.523974       0.60849        0.634612       0.504686       0.641541       0.381          0.839547       0.640563       0.545669       0.229108       0.617926       0.81036        0.517815       0.28447        0.543783       0.639355       0.559721       
0.222982       0.351202       0.64834        0.0594804      0.143945       0.469952       0.669903       0.662253       0.0477121      0.311691       0.198146       0.369214       0.296391       0.319754       0.865239       0.254188       0.304959       0.305909       0.414398       0.350163       0.151858       0.338843       0.41542        0.771702       0.390573       0.293121       0.631968       0.379384       0.40684        0.043079       0.105088       0.36072        0.397932       0.537831       0.426893       0.40849        0.248529       0.87611        0.270296       0.42691        0.395784       0.27951        0.116409       0.41316        0.565092       0.546571       0.124964       0.415834       0.371673       0.41363        
0.212898       0.33883        0.541568       0.0536241      0.131786       0.386685       0.720888       0.71517        0.0439593      0.307567       0.171685       0.372655       0.251134       0.298203       0.717149       0.24243        0.298856       0.300825       0.376417       0.34218        0.132578       0.30166        0.409487       0.633185       0.37481        0.279698       0.692462       0.379601       0.351297       0.0393285      0.0940752      0.364281       0.392399       0.433508       0.387412       0.376748       0.228873       0.735719       0.22978        0.420356       0.36691        0.258216       0.103327       0.377963       0.605462       0.432021       0.113486       0.365471       0.346154       0.367428       
0.333723       0.510209       0.413601       0.062576       0.16444        0.316276       0.787234       0.766254       0.0560089      0.606937       0.170775       0.532659       0.223709       0.377728       0.456679       0.368616       0.386756       0.57419        0.402206       0.568823       0.134468       0.313109       0.660166       0.436643       0.355456       0.41323        0.637854       0.754919       0.324259       0.0473866      0.102375       0.673494       0.652247       0.335317       0.409521       0.428192       0.283536       0.464131       0.213651       0.661143       0.429666       0.319746       0.112917       0.414844       0.71737        0.323869       0.136683       0.351638       0.420652       0.364976       
0.209956       0.346848       0.367857       0.0447316      0.115502       0.266505       0.890408       0.878579       0.0381694      0.33668        0.131436       0.379179       0.17807        0.275348       0.42643        0.239336       0.273344       0.326084       0.320243       0.365729       0.101831       0.246097       0.449121       0.399587       0.285507       0.276915       0.682632       0.44046        0.266094       0.033122       0.0749034      0.405259       0.431867       0.287335       0.328257       0.334169       0.204504       0.435766       0.169178       0.458448       0.330692       0.232569       0.0833915      0.32768        0.818769       0.27614        0.097276       0.287147       0.317001       0.295873       
0.155296       0.26266        0.670399       0.0407443      0.103649       0.365522       0.434601       0.421344       0.0312505      0.208574       0.139543       0.217587       0.179326       0.251945       0.548369       0.182273       0.177933       0.206611       0.361548       0.252227       0.100109       0.282956       0.306657       0.642343       0.211332       0.216164       0.365496       0.257659       0.353039       0.0277902      0.0662468      0.221391       0.289448       0.392766       0.376228       0.348069       0.190304       0.54946        0.190728       0.318919       0.331669       0.217564       0.0814044      0.357173       0.340468       0.313981       0.0894446      0.369024       0.30405        0.366312       
0.320386       0.468661       0.884195       0.106326       0.235773       0.846438       0.688431       0.681734       0.0794064      0.410125       0.410039       0.465428       0.66083        0.461321       0.866407       0.361067       0.411892       0.405261       0.60208        0.458404       0.317003       0.54383        0.521836       0.896595       0.51672        0.409018       0.657222       0.475707       0.678392       0.0743184      0.195241       0.454368       0.503542       0.894074       0.616811       0.576547       0.382215       0.862311       0.594544       0.534307       0.556533       0.420159       0.219363       0.591592       0.614194       0.858405       0.211835       0.653531       0.524166       0.633506       
0.237774       0.390637       0.68449        0.0709342      0.183809       0.545308       0.473551       0.461114       0.0498244      0.289158       0.26051        0.279918       0.264335       0.429718       0.523569       0.282227       0.237027       0.289339       0.68162        0.36009        0.168625       0.628296       0.422559       0.580225       0.271786       0.335303       0.409113       0.344089       0.896447       0.0441754      0.104281       0.287736       0.39993        0.507051       0.70579        0.610894       0.342946       0.523037       0.34279        0.439485       0.571701       0.387991       0.149338       0.650154       0.3941         0.395784       0.161505       0.84405        0.517309       0.785375       
0.215683       0.363184       0.34052        0.0435161      0.114404       0.24831        0.798244       0.765149       0.0373213      0.357737       0.125338       0.358014       0.165853       0.2782         0.382779       0.246749       0.257907       0.345916       0.315106       0.389096       0.0968365      0.239449       0.482633       0.363508       0.259933       0.286293       0.566082       0.483127       0.253703       0.0320721      0.0714452      0.405145       0.464939       0.265346       0.322529       0.333007       0.204359       0.390443       0.159868       0.491311       0.331279       0.233072       0.0805478      0.324243       0.6569         0.252633       0.0956729      0.276347       0.319311       0.286638       
0.239776       0.514152       0.281008       0.0404998      0.116264       0.207991       0.460195       0.436856       0.0338796      0.356623       0.111477       0.243084       0.134551       0.32653        0.285312       0.295521       0.188254       0.363          0.330511       0.569345       0.0838553      0.23744        0.822515       0.282801       0.187505       0.36479        0.339834       0.494984       0.232314       0.0283051      0.0608185      0.279453       0.792962       0.215589       0.336327       0.370232       0.223604       0.28938        0.138523       0.814538       0.377387       0.260676       0.0742214      0.348895       0.36493        0.197279       0.0944414      0.263268       0.372802       0.280818       
0.249895       0.554914       0.285383       0.0416937      0.120685       0.21189        0.4547         0.43227        0.0347729      0.360271       0.114289       0.243949       0.136936       0.343551       0.287806       0.311456       0.189908       0.36846        0.34251        0.609607       0.0857979      0.245325       0.884971       0.286043       0.189238       0.388249       0.338715       0.489696       0.238234       0.0289927      0.0621359      0.279742       0.868972       0.219112       0.348223       0.385753       0.233775       0.291774       0.14167        0.868431       0.394358       0.273041       0.0763453      0.36238        0.362443       0.200058       0.0977601      0.270721       0.391034       0.289399       
0.349525       0.780722       0.362095       0.0602353      0.191813       0.27815        0.456958       0.439498       0.0476935      0.380743       0.159919       0.273292       0.177422       0.651876       0.343705       0.48234        0.222366       0.392888       0.527204       0.606023       0.117056       0.373169       0.696843       0.349864       0.225282       0.687203       0.364626       0.458937       0.333844       0.0392799      0.0828434      0.303856       0.648546       0.281014       0.52965        0.620938       0.415518       0.346964       0.193422       0.73396        0.654151       0.496772       0.110233       0.568294       0.378689       0.25105        0.150867       0.389024       0.682131       0.424443       
0.160001       0.271624       0.741607       0.0427351      0.10943        0.393165       0.415703       0.402856       0.0322488      0.210558       0.148567       0.214801       0.183113       0.268058       0.500731       0.188709       0.176846       0.209121       0.399017       0.257841       0.104542       0.313874       0.312455       0.582515       0.208203       0.224621       0.349417       0.258668       0.402753       0.0286478      0.0681761      0.219446       0.294532       0.404643       0.416275       0.377899       0.202961       0.500968       0.203151       0.325452       0.35775        0.232347       0.0861674      0.391256       0.32882        0.311814       0.0945968      0.419768       0.325669       0.413062       
