NUM_DRIVERS: 50
NUM_TASKS: 100
PENALTY: 15%
UTILITY: 10%
DRIVERS
ID             X              Y              
1              172.69         182.27         
2              153.46         70.57          
3              176.16         82.05          
4              44.83          173.5          
5              144.26         8.7            
6              138.45         24.6           
7              171.74         53.33          
8              46.62          153.32         
9              174.35         81.22          
10             82.6           58.37          
11             155.23         18.46          
12             74.38          168.57         
13             111.68         119.35         
14             15.24          89.83          
15             171.3          58.34          
16             137.38         178.3          
17             67.17          27.48          
18             83.68          84.44          
19             70.78          111.95         
20             0.97           58.4           
21             29.36          180.55         
22             147.94         136.99         
23             19.82          31.53          
24             73.89          102.8          
25             139.86         16.43          
26             56.15          152.12         
27             93.54          41.13          
28             18.24          91.94          
29             28.31          61.11          
30             52.59          30.43          
31             133.2          91.28          
32             138.8          70.32          
33             84.27          23.74          
34             147.61         90.18          
35             47.41          127.52         
36             78.69          16.87          
37             76.16          137.95         
38             177.59         146.45         
39             79.31          43.85          
40             13.17          102.82         
41             103.11         36.21          
42             93             155.36         
43             104.98         9.56           
44             30.1           15.95          
45             142.15         170.81         
46             74.07          118.5          
47             90.67          84.72          
48             123.55         115.51         
49             56.76          82.45          
50             41.44          168.01         
TASKS
ID             X              Y              COST           PENALIZED_COST 
1              61.55          14.81          93.4652        107.485        
2              51.53          22.37          91.5192        105.247        
3              110.46         124.79         26.9064        30.9424        
4              11.28          134.22         95.0907        109.354        
5              93.71          73.18          27.5477        31.6799        
6              96.75          36.64          63.4433        72.9598        
7              162.48         5.34           113.421        130.434        
8              74.06          98.09          26.0102        29.9118        
9              109.31         119.19         21.3291        24.5285        
10             34.05          191.23         112.571        129.457        
11             125            71.68          37.776         43.4423        
12             176.43         35.89          99.7579        114.722        
13             56.07          198.5          107.852        124.03         
14             79.7           6.14           96.0301        110.435        
15             152.51         144.62         68.9075        79.2436        
16             133.8          8.88           97.1869        111.765        
17             40.92          56.45          73.3965        84.406         
18             71.5           11.58          92.8997        106.835        
19             71.9           131.57         42.2643        48.604         
20             138.06         180.2          88.7728        102.089        
21             107.16         96.39          8.01858        9.22137        
22             142.16         143.63         60.6716        69.7723        
23             107.67         134.07         34.9227        40.1611        
24             149.79         73.91          56.2115        64.6432        
25             84.02          197.46         98.7614        113.576        
26             34.28          71.59          71.5978        82.3375        
27             154.06         55.78          69.8419        80.3182        
28             176.39         59.04          86.6785        99.6802        
29             109.82         145.11         46.1665        53.0915        
30             55.54          104.74         44.712         51.4188        
31             97.66          179.74         79.7743        91.7405        
32             185.7          110.91         86.3917        99.3504        
33             69.74          36.19          70.6214        81.2146        
34             190.83         197.54         133.282        153.275        
35             139.05         16.9           91.8178        105.59         
36             177.89         56.03          89.4439        102.86         
37             36.08          77.36          67.811         77.9827        
38             125.88         133.52         42.3481        48.7004        
39             197.91         106.49         98.1249        112.844        
40             26.06          46.19          91.4475        105.165        
41             66.13          126.46         42.9803        49.4274        
42             173.02         107.74         73.4291        84.4434        
43             155.52         142.87         70.1449        80.6666        
44             165.46         155.53         85.8405        98.7166        
45             120.66         35.02          68.1853        78.4131        
46             98.25          156.8          56.827         65.351         
47             156.07         191.58         107.381        123.488        
48             176.85         176.28         108.28         124.522        
49             41.54          188.78         106.299        122.244        
50             61.42          33.91          76.5265        88.0055        
51             66.11          29.95          77.8173        89.4899        
52             39.74          30.23          92.1907        106.019        
53             47.14          128.83         60.2109        69.2425        
54             54.98          133.55         56.1463        64.5682        
55             118.26         133.91         38.5138        44.2909        
56             50.68          42.04          76.104         87.5196        
57             24.7           37.99          97.5466        112.179        
58             45.98          95.46          54.2104        62.342         
59             119.52         155.33         58.6723        67.4732        
60             42.28          154.66         79.4941        91.4182        
61             92.74          105.13         8.88957        10.223         
62             129.42         195.93         100.34         115.391        
63             192.11         197.85         134.383        154.541        
64             135.28         105.32         35.6789        41.0307        
65             89.03          19.36          81.3827        93.5902        
66             71.55          113.71         31.5811        36.3183        
67             91.15          28.03          72.5121        83.3889        
68             89.08          118.01         21.062         24.2213        
69             49.02          186.33         100.259        115.298        
70             138.87         39.93          71.5492        82.2815        
71             82.45          81.75          25.3193        29.1172        
72             65.55          73.89          43.2265        49.7105        
73             114.51         149.4          51.4869        59.2099        
74             193.4          22.6           121.303        139.498        
75             132.36         24.59          82.06          94.369         
76             124.94         143.94         50.5245        58.1032        
77             171.33         172.05         101.386        116.594        
78             154.96         48.18          75.5375        86.8681        
79             166.81         132.86         74.4537        85.6218        
80             18.3           63.78          89.3688        102.774        
81             91.91          156.23         56.809         65.3303        
82             119.88         131.94         37.6215        43.2647        
83             183.94         46.98          99.2826        114.175        
84             196.56         49.15          109.131        125.501        
85             7.56           138.93         100.303        115.348        
86             115.59         48.73          53.5879        61.6261        
87             146.66         112.29         48.2514        55.4891        
88             49.75          159.32         77.7427        89.4041        
89             60.15          124.29         46.6693        53.6697        
90             146.69         94.06          47.0663        54.1263        
91             181.39         124.84         85.0962        97.8606        
92             41.96          199.97         115.597        132.936        
93             71.63          152.09         59.3146        68.2118        
94             89.66          24.07          76.6308        88.1254        
95             181.29         64.38          88.7516        102.064        
96             77.89          154.4          58.7215        67.5297        
97             103.49         191.05         91.1169        104.784        
98             25.05          79.75          77.6374        89.283         
99             6.03           38.87          112.104        128.919        
100            154.36         196.62         110.862        127.492        
ALPHA
0.0372839      0.0303659      0.0345699      0.0363201      0.0575182      0.0494999      0.0407169      0.0324122      0.0341791      0.0318095      0.0526045      0.0295447      0.0107935      0.0470016      0.0390383      0.0317025      0.0741715      0.0135407      0.0165247      0.063899       0.0408448      0.0249079      0.0761717      0.0144034      0.0538961      0.0295011      0.0439046      0.0451599      0.0542059      0.0755239      0.0173139      0.0259027      0.0660564      0.0233866      0.028666       0.077503       0.0206084      0.033624       0.0469318      0.0448053      0.0455497      0.023496       0.0660128      0.0874993      0.0306276      0.0160948      0.0105813      0.0133188      0.0289356      0.0361916      
0.037579       0.0298747      0.0340645      0.0378513      0.0547702      0.0474247      0.0396864      0.0339         0.0336766      0.0324435      0.0504289      0.0305644      0.0109911      0.0507777      0.0381296      0.0321924      0.0737269      0.013969       0.0172373      0.0699286      0.0426424      0.0250945      0.0846709      0.0150056      0.0514246      0.0307712      0.0430629      0.0487159      0.0596694      0.0844853      0.0173035      0.0255634      0.0626493      0.0232463      0.0301679      0.0719765      0.0213725      0.0336927      0.0472544      0.0480916      0.0440686      0.0241745      0.0618346      0.0959854      0.0310456      0.0167422      0.0108415      0.0134757      0.0307363      0.0377872      
0.0983531      0.0634969      0.074319       0.0845951      0.0686407      0.0646422      0.0707057      0.0779172      0.0735669      0.0456068      0.0692199      0.0875201      0.0695837      0.0665163      0.0705792      0.0999522      0.0596689      0.0299317      0.046011       0.06932        0.0854866      0.0912995      0.0671759      0.037741       0.0665229      0.0776607      0.0527554      0.065829       0.0623314      0.0611841      0.0509261      0.0553181      0.0593056      0.0625799      0.065939       0.0615599      0.0704176      0.092803       0.052661       0.0685972      0.0551561      0.0898402      0.0636671      0.0673977      0.0995451      0.0498982      0.0250056      0.0656512      0.0489722      0.0828374      
0.041663       0.0243257      0.0291935      0.0626255      0.0365033      0.0321834      0.0311458      0.0557794      0.0287687      0.0226501      0.0351965      0.0438495      0.0114972      0.0611269      0.0303386      0.0379428      0.0369264      0.012325       0.0199021      0.0625917      0.0739775      0.0261248      0.0532147      0.0159013      0.0343601      0.0474985      0.0270034      0.0595596      0.0479314      0.0407101      0.0153001      0.020549       0.0342259      0.0203946      0.0450219      0.0372435      0.0279969      0.0345355      0.0287412      0.0686507      0.0278405      0.0310867      0.0360809      0.0508813      0.0356766      0.0199307      0.00949029     0.013498       0.0284547      0.0639305      
0.0676722      0.0698593      0.0708285      0.0660489      0.0926764      0.090434       0.0791988      0.0626134      0.0706206      0.0979556      0.0896269      0.0586178      0.0293182      0.079217       0.0775066      0.061371       0.0990171      0.0528982      0.0434891      0.0884361      0.0701504      0.0544094      0.0938321      0.0415585      0.091951       0.0592449      0.0993711      0.0780105      0.0867169      0.0969199      0.0483546      0.0671681      0.0999801      0.0578269      0.0599927      0.09999        0.0473484      0.0650947      0.0993667      0.0766313      0.097217       0.0508525      0.0982842      0.0966445      0.0603553      0.0413996      0.0453461      0.0355423      0.0710906      0.0660739      
0.048217       0.0471134      0.0505078      0.0438003      0.0855791      0.0792143      0.061015       0.0396186      0.0501416      0.0504844      0.078987       0.037109       0.0153243      0.0530985      0.0585302      0.041157       0.0843192      0.0199552      0.0220601      0.066442       0.0481838      0.0343857      0.0750213      0.0196788      0.0833721      0.0366487      0.0858774      0.051517       0.0599143      0.077925       0.0265835      0.0416389      0.095667       0.0354085      0.0355734      0.0951202      0.0268647      0.0452607      0.0726972      0.0510878      0.0914749      0.0306223      0.0987255      0.0820515      0.0401809      0.0214662      0.0159985      0.0192164      0.0375573      0.0435706      
0.037772       0.0340408      0.0408939      0.028841       0.0768958      0.058688       0.0527336      0.0250358      0.0403132      0.0215575      0.0766947      0.0244891      0.00948717     0.0301462      0.0494041      0.0301066      0.0376796      0.0100185      0.0124267      0.0378984      0.0321284      0.0246274      0.0407936      0.0107127      0.0667969      0.023115       0.0309912      0.0291685      0.0315241      0.0372287      0.0168091      0.0267554      0.0401853      0.0243604      0.0211036      0.0433423      0.016498       0.0354164      0.02918        0.029779       0.0354147      0.0200183      0.0529457      0.0443975      0.0294164      0.0123931      0.00812079     0.0122461      0.0191039      0.0283848      
0.0705182      0.0554553      0.0604864      0.0859805      0.0726443      0.0684118      0.0641289      0.0860485      0.0600467      0.0677092      0.0704877      0.075862       0.0326513      0.0999539      0.0630078      0.0676785      0.0821046      0.0527961      0.0784267      0.0983801      0.0894249      0.0552955      0.0942481      0.0854717      0.0707428      0.0821313      0.0686973      0.0999858      0.0961363      0.0867967      0.0401282      0.0506457      0.0770502      0.0486198      0.0903245      0.0799332      0.067981       0.0644657      0.0743327      0.0997613      0.067676       0.064636       0.0756167      0.0917298      0.065593       0.0686188      0.0378243      0.0359325      0.0945957      0.0869942      
0.0991263      0.0701413      0.0800041      0.0870007      0.0739441      0.0703522      0.0763628      0.081383       0.0793503      0.0514155      0.074591       0.0894705      0.0953483      0.0712145      0.0763248      0.0999994      0.0651127      0.034955       0.0521516      0.0737934      0.087737       0.0948152      0.0719217      0.043507       0.0720347      0.0812197      0.0586567      0.0705879      0.0674042      0.0664658      0.0591142      0.062303       0.064883       0.0700709      0.0708407      0.0669759      0.0754247      0.0953417      0.0584253      0.0730952      0.0610919      0.0914671      0.0691192      0.0721785      0.0998735      0.0563014      0.0295842      0.0782492      0.0546126      0.0855279      
