NUM_DRIVERS: 50
NUM_TASKS: 100
PENALTY: 15%
UTILITY: 40%
DRIVERS
ID             X              Y              
1              26.86          6.64           
2              113.32         21.86          
3              181.29         138.08         
4              0.8            86.1           
5              92.67          192.26         
6              75.74          23.19          
7              69.49          77.69          
8              164.67         38.68          
9              56.46          174.19         
10             13.64          62.91          
11             95.38          101.29         
12             51.05          13.72          
13             37.25          73.21          
14             64.74          153.83         
15             81.22          60.6           
16             7.58           65.71          
17             174.59         115.95         
18             131.38         140.39         
19             35.59          186.38         
20             20.38          105.68         
21             172.96         147.55         
22             90.07          119.08         
23             71.17          4.17           
24             167.08         7.22           
25             188.34         94.68          
26             121.06         87.94          
27             16.16          87.02          
28             139.4          95.67          
29             23.11          108.81         
30             141.45         61.94          
31             149.48         88.78          
32             151.71         2.35           
33             5.63           62.81          
34             103.43         20.52          
35             76.68          59.74          
36             194.54         120.84         
37             14.27          101.87         
38             42.43          10.08          
39             76.96          75.97          
40             50.44          130.28         
41             27.77          59.33          
42             143.73         70.47          
43             71.12          173.34         
44             98.61          86.73          
45             50.13          47.5           
46             53.58          172.01         
47             190.42         128.19         
48             188.28         79.67          
49             191.73         158.35         
50             170.2          54.71          
TASKS
ID             X              Y              COST           PENALIZED_COST 
1              72.89          101.55         27.1543        31.2274        
2              154.5          7.19           107.629        123.773        
3              146.98         124.33         52.9062        60.8422        
4              194.51         69.49          99.3126        114.21         
5              148.03         188.39         100.597        115.686        
6              40.14          139.87         71.9224        82.7108        
7              75.46          188.27         91.6177        105.36         
8              49.4           198.29         110.55         127.132        
9              170.99         52.22          85.5717        98.4074        
10             76.66          117.64         29.2562        33.6446        
11             125.12         167.27         71.8072        82.5782        
12             85.28          110.57         18.1219        20.8402        
13             95.16          133.87         34.2141        39.3462        
14             8.78           163.04         110.883        127.516        
15             185.24         82.62          86.9938        100.043        
16             20.31          80.77          81.9774        94.274         
17             144.08         167.75         80.8276        92.9518        
18             2.91           40.33          113.96         131.054        
19             58.63          105.3          41.7081        47.9643        
20             122.21         148.81         53.6256        61.6694        
21             164.81         113.49         66.1991        76.1289        
22             172.13         184.09         110.787        127.406        
23             79.04          199.27         101.459        116.677        
24             8.31           50.01          104.432        120.097        
25             142.47         137.4          56.5903        65.0788        
26             9.15           110.78         91.4873        105.21         
27             86.25          177.41         78.6217        90.4149        
28             91.11          84.62          17.7645        20.4291        
29             87.34          11             89.8959        103.38         
30             56.22          40.65          73.7503        84.8129        
31             80.27          30.16          72.5734        83.4594        
32             170.99         162.69         94.7081        108.914        
33             176.63         107.12         76.9601        88.5041        
34             4.39           91.56          95.9818        110.379        
35             10.05          148.2          102.05         117.358        
36             116.48         4.39           97.0199        111.573        
37             22.9           163.48         99.8705        114.851        
38             190.2          134.82         96.6875        111.191        
39             59.04          130.88         51.2962        58.9906        
40             36.91          100.61         63.0929        72.5569        
41             58.16          156.09         69.9762        80.4727        
42             1.37           113.04         99.4883        114.412        
43             88.23          107.16         13.7767        15.8432        
44             47.68          36.08          82.6024        94.9927        
45             60.25          111.15         41.2842        47.4768        
46             33.6           32.73          94.521         108.699        
47             11.77          4.79           129.806        149.276        
48             126.73         118.74         32.6448        37.5415        
49             160.8          120.53         64.1726        73.7985        
50             11.61          31.53          111.808        128.579        
51             50.33          40.3           77.6608        89.3099        
52             132.83         191.2          96.9291        111.468        
53             23.72          88.97          77.0733        88.6343        
54             143.6          21.28          89.9878        103.486        
55             157.96         124.43         62.8982        72.333         
56             126.13         199.21         102.593        117.982        
57             19.78          86.9           81.2826        93.475         
58             147.37         188.66         100.521        115.599        
59             77.07          177.18         80.5142        92.5913        
60             65.69          71.36          44.6926        51.3965        
61             180.78         67.74          86.9834        100.031        
62             74.22          11.94          91.756         105.519        
63             29.52          73.27          75.3785        86.6853        
64             149.59         134.1          60.1829        69.2103        
65             52.91          112.72         48.7777        56.0944        
66             96.74          6.5            93.5568        107.59         
67             88.56          96.74          11.8954        13.6797        
68             168.18         44.63          87.8314        101.006        
69             144.66         102.82         44.7489        51.4613        
70             96.79          57.65          42.4715        48.8422        
71             94.51          111.87         13.0781        15.0398        
72             22.84          44.72          94.9186        109.156        
73             53.25          40.81          75.4256        86.7394        
74             102.32         120.73         20.8594        23.9883        
75             127.13         92.22          28.2235        32.457         
76             152.09         43.04          77.1868        88.7649        
77             173.42         17.75          110.252        126.79         
78             43.02          26.9           92.684         106.587        
79             41.72          15.6           102.567        117.952        
80             116.12         132.79         36.5382        42.0189        
81             70.13          140.58         50.388         57.9462        
82             19.59          91.45          80.8633        92.9928        
83             175.29         147.86         89.2141        102.596        
84             108.87         109.21         12.7868        14.7048        
85             30.83          181.78         107.11         123.176        
86             63.14          87.49          38.9251        44.7638        
87             167.31         94.8           67.5106        77.6371        
88             199.68         40.42          116.129        133.548        
89             111.29         32.63          68.3095        78.5559        
90             167.17         1.39           119.314        137.211        
91             34.61          80.29          68.2959        78.5403        
92             196.55         150.56         108.987        125.335        
93             34.84          194.89         115.108        132.375        
94             33.07          167.42         95.0004        109.25         
95             163.39         56.8           76.7107        88.2173        
96             97.71          175.78         75.8146        87.1868        
97             128.79         199.76         103.831        119.406        
98             164.36         99.06          64.3669        74.0219        
99             124.56         132.85         41.016         47.1685        
100            191.62         64.82          98.142         112.863        
ALPHA
0.357662       0.27213        0.25368        0.397176       0.308513       0.305212       0.294969       0.257567       0.338574       0.384053       0.0386475      0.337241       0.375463       0.321486       0.253235       0.387897       0.234934       0.210125       0.3597         0.399979       0.253731       0.166419       0.321391       0.285407       0.247885       0.125728       0.395909       0.168806       0.39965        0.211685       0.193647       0.287273       0.387251       0.279754       0.269188       0.257602       0.399885       0.34564        0.250987       0.365183       0.372774       0.201954       0.318579       0.0938984      0.337574       0.341975       0.256559       0.250596       0.273722       0.247255       
0.201638       0.209502       0.148848       0.142894       0.122278       0.171386       0.0693301      0.253325       0.114209       0.145094       0.00877077     0.187801       0.112688       0.0920736      0.0880389      0.148361       0.13981        0.0842555      0.133568       0.116517       0.139788       0.036342       0.209562       0.380969       0.175739       0.0497744      0.126933       0.0803235      0.113094       0.137325       0.107167       0.390394       0.152217       0.198377       0.092346       0.169748       0.123904       0.194361       0.0630277      0.0864224      0.13552        0.122843       0.107413       0.0260545      0.131948       0.113895       0.162007       0.193163       0.165155       0.211934       
0.214588       0.197227       0.399547       0.196407       0.264662       0.182429       0.105467       0.253968       0.220218       0.188247       0.0175356      0.199073       0.156886       0.183494       0.120838       0.193163       0.373172       0.271715       0.238897       0.176527       0.396976       0.0781746      0.205296       0.266675       0.341054       0.0994783      0.179608       0.19206        0.174167       0.194816       0.229202       0.252595       0.195947       0.192297       0.12543        0.384952       0.182931       0.205552       0.0964931      0.155259       0.175727       0.19751        0.220139       0.0467459      0.164075       0.217212       0.39252        0.318601       0.39852        0.26459        
0.170427       0.163908       0.212259       0.136408       0.143033       0.142071       0.0673136      0.250681       0.126237       0.134124       0.00943222     0.156692       0.106352       0.101306       0.0819848      0.137734       0.203589       0.105325       0.145318       0.115199       0.193213       0.0400308      0.167569       0.273642       0.282641       0.0554571      0.121841       0.0988922      0.112504       0.147209       0.136847       0.24701        0.140728       0.156971       0.0855476      0.257024       0.121443       0.162645       0.061354       0.0908597      0.124482       0.140616       0.12099        0.027126       0.118049       0.125262       0.239543       0.325726       0.231045       0.261552       
0.148696       0.117127       0.223153       0.143164       0.23717        0.114694       0.0639734      0.141895       0.178044       0.132163       0.00948095     0.132096       0.104805       0.134926       0.0713192      0.137349       0.171646       0.13513        0.202296       0.126351       0.234666       0.0450582      0.133338       0.161957       0.174721       0.0474451      0.127134       0.0818455      0.124471       0.0990647      0.101362       0.154178       0.139687       0.116014       0.0751309      0.212058       0.131975       0.138739       0.0570056      0.108467       0.1197         0.0965563      0.176171       0.0249824      0.106423       0.174441       0.21745        0.167351       0.283067       0.141535       
