NUM_DRIVERS: 50
NUM_TASKS: 100
PENALTY: 20%
UTILITY: 80%
DRIVERS
ID             X              Y              
1              66.55          115.49         
2              56.85          53.3           
3              12.95          110.96         
4              194.89         181.67         
5              193.89         77.42          
6              3.48           50.22          
7              111.68         162.25         
8              184.31         19.9           
9              187.6          145.93         
10             128.57         70.09          
11             47.43          186.74         
12             69.23          164.15         
13             78.41          48.95          
14             35.69          117.56         
15             190.05         101.16         
16             94.66          140.94         
17             162.52         51.06          
18             56.58          123.68         
19             159.5          10.56          
20             19.36          149.09         
21             159.44         4.97           
22             39.58          123.11         
23             90.18          166.62         
24             43.32          199.03         
25             110.98         20.12          
26             17.83          147.95         
27             79.95          51.97          
28             118.69         150.94         
29             126.98         105            
30             47.09          131.39         
31             160.2          48.08          
32             192.35         163.41         
33             181.39         124.12         
34             181.41         123.87         
35             177.76         58.57          
36             172.26         123.85         
37             166.73         175.44         
38             66.6           53.79          
39             135.38         123.18         
40             10.95          155.59         
41             13.53          12.75          
42             135.41         61.23          
43             36.59          195.69         
44             2.79           143.65         
45             47.39          24.27          
46             40.8           190.32         
47             9.84           93.49          
48             119.03         69.5           
49             168.79         77.11          
50             181.34         171.63         
TASKS
ID             X              Y              COST           PENALIZED_COST 
1              114.33         85.47          20.4076        24.4891        
2              98.58          65.71          34.3194        41.1833        
3              156.74         78.55          60.6591        72.791         
4              108.07         58.1           42.6701        51.2041        
5              17.6           111.99         83.2678        99.9213        
6              84.13          176.28         77.9134        93.4961        
7              195.27         74.94          98.5108        118.213        
8              66.06          94.95          34.3136        41.1764        
9              178.45         101.16         78.4586        94.1503        
10             83.58          9.72           91.7611        110.113        
11             177.01         88.16          77.9149        93.4978        
12             133.33         7.56           98.2652        117.918        
13             162.98         91.11          63.6043        76.3252        
14             87.32          131.64         34.0862        40.9035        
15             120.03         84.79          25.1504        30.1805        
16             181.59         162.38         102.704        123.245        
17             141.74         121.64         47.0161        56.4194        
18             72.8           118.46         32.8727        39.4472        
19             194.3          96.9           94.3509        113.221        
20             169.35         48.92          86.1312        103.357        
21             185.14         30.18          110.107        132.129        
22             122.67         62.66          43.683         52.4196        
23             109.18         105.65         10.7794        12.9352        
24             123.9          122.68         32.9483        39.538         
25             53.05          139.45         61.3238        73.5885        
26             71.97          53.21          54.5434        65.4521        
27             20.43          198.79         126.85         152.22         
28             80.1           179.55         82.0013        98.4016        
29             81.98          175.1          77.2317        92.678         
30             88.97          29.53          71.328         85.5936        
31             79.45          55.6           48.9251        58.7101        
32             180.08         131.39         86.0124        103.215        
33             11.55          157.42         105.454        126.544        
34             166.32         6.15           114.918        137.902        
35             192.06         30.28          115.481        138.578        
36             53.77          55.37          64.2577        77.1092        
37             9.33           126.2          94.3795        113.255        
38             170.79         169.94         99.513         119.416        
39             140.47         48.66          65.3729        78.4475        
40             77.63          48.27          56.3596        67.6316        
41             154.83         3.15           111.294        133.552        
42             127.42         88.59          29.6992        35.6391        
43             83.35          72.27          32.3446        38.8136        
44             75.02          72.28          37.3149        44.7778        
45             18.71          120.42         83.8155        100.579        
46             75.11          182.93         86.5846        103.902        
47             32.64          60.33          78.1734        93.8081        
48             96.2           107.14         8.08824        9.70589        
49             72.12          69.3           41.4703        49.7643        
50             158.47         126.15         64.0513        76.8615        
51             85.3           189.65         90.8472        109.017        
52             105.64         162.97         63.2221        75.8665        
53             106.56         1.39           98.828         118.594        
54             32.06          76.15          72.0046        86.4056        
55             113.77         152.66         54.4306        65.3167        
56             75.82          36.36          68.0788        81.6946        
57             172.52         23.22          105.614        126.737        
58             67.51          60.45          51.184         61.4208        
59             195.58         86.35          96.5498        115.86         
60             187.1          15.45          121.388        145.666        
61             182.74         83.73          84.3245        101.189        
62             8.69           193.13         130.425        156.51         
63             94.9           40.32          59.8975        71.877         
64             138.78         85.03          41.5691        49.8829        
65             27.15          158.88         93.6695        112.403        
66             148.31         92.21          48.934         58.7208        
67             87.66          130.33         32.7442        39.2931        
68             2.11           140.68         106.006        127.207        
69             176.95         20.83          110.405        132.486        
70             119.74         11.59          90.587         108.704        
71             196.57         131.87         101.693        122.032        
72             115.51         102.01         15.6397        18.7676        
73             191.41         186.1          125.575        150.69         
74             65.58          183.83         90.6212        108.745        
75             71.72          187.7          92.1469        110.576        
76             95.24          185.76         85.892         103.07         
77             102.59         169.84         69.888         83.8656        
78             2.28           137.86         104.798        125.757        
79             199.82         23.5           125.763        150.915        
80             76.84          128.94         37.0663        44.4795        
81             131.63         97.55          31.7247        38.0697        
82             23.36          108.48         77.1077        92.5293        
83             103.85         125.46         25.7494        30.8993        
84             106.45         29.85          70.4459        84.5351        
85             36.28          92.58          64.1506        76.9807        
86             46.15          75.58          59.1283        70.954         
87             78.55          10.18          92.3457        110.815        
88             151.49         111.17         52.6877        63.2252        
89             131.43         98.86          31.4507        37.7408        
90             50.42          10.1           102.665        123.198        
91             31.83          111.73         69.1718        83.0062        
92             79.2           178.8          81.499         97.7987        
93             199.38         159.07         115.61         138.732        
94             104.42         118.08         18.6124        22.3349        
95             26.25          181.23         109.715        131.658        
96             73.84          172.82         77.3763        92.8516        
97             133.49         45.13          64.2829        77.1395        
98             55.65          44.5           71.0435        85.2521        
99             57.16          9.37           100.245        120.294        
100            82.15          68.06          36.5894        43.9073        
ALPHA
0.383806       0.589568       0.561775       0.686552       0.769659       0.635431       0.521108       0.79991        0.685679       0.799901       0.572307       0.51233        0.619026       0.506265       0.737148       0.416713       0.797741       0.441318       0.796596       0.56062        0.795763       0.497131       0.5127         0.591433       0.751425       0.562242       0.608647       0.504616       0.502593       0.483314       0.799104       0.685749       0.694328       0.694668       0.789272       0.677161       0.647055       0.587089       0.532083       0.57789        0.679138       0.799627       0.591391       0.583056       0.663942       0.581891       0.577579       0.776143       0.768139       0.669251       
0.315355       0.653344       0.535105       0.541217       0.592681       0.664873       0.384602       0.707375       0.513316       0.51201        0.489648       0.415336       0.732397       0.460438       0.544077       0.301222       0.635708       0.373598       0.737705       0.505753       0.74537        0.443703       0.397349       0.510992       0.790834       0.508839       0.724533       0.356128       0.265118       0.417881       0.646237       0.527986       0.50061        0.500777       0.619278       0.474937       0.492839       0.66639        0.329926       0.525384       0.730589       0.588141       0.514983       0.54019        0.736358       0.503245       0.568047       0.521791       0.550017       0.513857       
0.186503       0.310747       0.337359       0.587053       0.789702       0.401268       0.325391       0.741514       0.587138       0.367372       0.378358       0.310903       0.307089       0.28392        0.713907       0.222162       0.715689       0.232035       0.667717       0.351133       0.667746       0.278221       0.314945       0.403679       0.478256       0.352457       0.293389       0.304749       0.218479       0.269862       0.696385       0.586943       0.603821       0.604584       0.786156       0.560836       0.509761       0.295927       0.307233       0.372337       0.450247       0.476602       0.401968       0.374212       0.403681       0.389686       0.347143       0.289219       0.796742       0.552503       
0.259813       0.540475       0.463327       0.517097       0.591357       0.588796       0.344963       0.727148       0.491003       0.498201       0.438873       0.365778       0.601581       0.39116        0.532606       0.26092        0.650973       0.313895       0.7625         0.444928       0.769223       0.377467       0.3529         0.461576       0.798709       0.44767        0.582747       0.318908       0.235433       0.356612       0.664172       0.504747       0.480502       0.480728       0.627319       0.452409       0.463455       0.540679       0.298794       0.465838       0.66614        0.598467       0.464467       0.478046       0.657807       0.452279       0.491674       0.491756       0.545632       0.487692       
0.22283        0.330575       0.797335       0.365858       0.293835       0.592512       0.266776       0.339888       0.308346       0.163905       0.495521       0.363325       0.259528       0.521855       0.281366       0.19947        0.264133       0.319176       0.333494       0.627238       0.343629       0.479618       0.309413       0.524527       0.301054       0.638353       0.245198       0.226555       0.113815       0.415096       0.265504       0.337643       0.274381       0.274213       0.279596       0.255369       0.328426       0.28625        0.167864       0.659341       0.538207       0.198563       0.543093       0.721096       0.419359       0.523722       0.699857       0.148831       0.243254       0.336686       
0.208861       0.249489       0.402182       0.53048        0.342389       0.381785       0.465579       0.352899       0.426012       0.171426       0.699045       0.586022       0.215912       0.34623        0.346763       0.287741       0.281492       0.288189       0.330574       0.509759       0.338321       0.351379       0.603191       0.732393       0.272904       0.507357       0.205827       0.359436       0.136276       0.361589       0.280185       0.479513       0.360697       0.360218       0.308718       0.337335       0.501965       0.2262         0.22304        0.545469       0.383826       0.206037       0.710444       0.514927       0.314847       0.699765       0.382323       0.151167       0.278432       0.494806       
0.126313       0.213176       0.246839       0.487996       0.762254       0.297652       0.23096        0.601655       0.465698       0.200076       0.285846       0.225038       0.203194       0.202255       0.575239       0.150932       0.456821       0.161154       0.499177       0.260963       0.506268       0.197914       0.22638        0.309756       0.324048       0.262101       0.192681       0.21031        0.126797       0.191445       0.445719       0.479172       0.453915       0.454386       0.575489       0.399018       0.396948       0.199266       0.192904       0.280216       0.338173       0.262665       0.308262       0.281452       0.289481       0.296565       0.253859       0.164394       0.463695       0.441934       
0.537555       0.660863       0.78176        0.528221       0.472962       0.78105        0.438243       0.533551       0.476355       0.325735       0.634042       0.549477       0.541137       0.73891        0.454666       0.373335       0.452761       0.612786       0.536375       0.713769       0.546803       0.709228       0.490041       0.648089       0.530507       0.718197       0.523859       0.390517       0.228526       0.652777       0.455973       0.503575       0.443065       0.442917       0.464373       0.421646       0.493699       0.604335       0.309979       0.722393       0.745247       0.376979       0.659371       0.746771       0.686745       0.649714       0.798605       0.308979       0.418518       0.501873       
0.154178       0.24322        0.28737        0.623526       0.723498       0.333268       0.299891       0.581724       0.637342       0.241139       0.345354       0.278273       0.23179        0.240061       0.79999        0.192915       0.484755       0.195492       0.502509       0.308756       0.508023       0.23625        0.286017       0.372115       0.350744       0.309698       0.220821       0.277839       0.168765       0.230791       0.472533       0.630049       0.668376       0.669587       0.582273       0.596948       0.524376       0.228152       0.266794       0.329882       0.370025       0.306234       0.368918       0.32891        0.320165       0.35632        0.292489       0.197273       0.55567        0.581974       
0.14827        0.355995       0.326155       0.33769        0.349265       0.478635       0.205256       0.482035       0.3007         0.198083       0.297839       0.230572       0.337639       0.254254       0.310399       0.147817       0.351177       0.189423       0.512498       0.307996       0.534487       0.24252        0.216527       0.319948       0.532797       0.310866       0.310342       0.182941       0.111735       0.224954       0.358402       0.320015       0.280307       0.280341       0.356251       0.257625       0.290702       0.32818        0.156304       0.329711       0.607079       0.254836       0.323844       0.343505       0.564126       0.311488       0.355599       0.178343       0.289416       0.308681       
0.15383        0.250538       0.288193       0.578544       0.788931       0.339983       0.286761       0.634772       0.579071       0.255293       0.337064       0.271311       0.240957       0.23995        0.747924       0.187959       0.539454       0.194452       0.54576        0.305858       0.55033        0.235533       0.276348       0.362814       0.373449       0.306952       0.229405       0.265327       0.16795        0.229087       0.523964       0.579262       0.594977       0.595899       0.655602       0.534372       0.485978       0.235667       0.255735       0.326595       0.380974       0.329531       0.360449       0.326924       0.331656       0.348111       0.294962       0.207168       0.632573       0.536895       
0.130959       0.271463       0.273158       0.35399        0.405063       0.369795       0.199122       0.61728        0.320492       0.205558       0.27323        0.212805       0.265466       0.21737        0.346859       0.139284       0.42162        0.166624       0.68968        0.269754       0.720228       0.209465       0.204778       0.294615       0.52061        0.271762       0.248281       0.179084       0.112048       0.197525       0.432975       0.338292       0.302709       0.302827       0.424844       0.275581       0.299049       0.254193       0.158192       0.28926        0.450422       0.276397       0.296421       0.297196       0.397002       0.285021       0.290763       0.177712       0.328915       0.322073       
0.180844       0.288574       0.326553       0.627464       0.793074       0.380618       0.334865       0.674457       0.639686       0.318397       0.379887       0.311969       0.280468       0.275453       0.779046       0.222922       0.612767       0.226249       0.595847       0.345676       0.598535       0.270826       0.319728       0.406167       0.425488       0.346763       0.267943       0.314454       0.214809       0.264186       0.595905       0.632715       0.669727       0.670699       0.709523       0.623505       0.544356       0.273204       0.319479       0.367144       0.422945       0.402891       0.403399       0.367148       0.374217       0.390938       0.333617       0.255462       0.736379       0.593108       
0.488275       0.430549       0.630761       0.655815       0.502769       0.57554        0.69214        0.511044       0.584495       0.305877       0.794649       0.7984         0.378169       0.608795       0.510087       0.719065       0.440162       0.60094        0.490942       0.724459       0.498591       0.626661       0.778687       0.796751       0.435583       0.721662       0.364933       0.612094       0.26815        0.662252       0.438713       0.623151       0.52867        0.528184       0.468799       0.509918       0.645758       0.397862       0.408249       0.735882       0.564735       0.351947       0.793093       0.713583       0.496289       0.792828       0.600384       0.276938       0.438981       0.636347       
0.339685       0.531281       0.518457       0.678648       0.777377       0.592156       0.49165        0.798661       0.680526       0.785032       0.539833       0.476794       0.553756       0.461213       0.742294       0.380673       0.79996        0.397367       0.786828       0.522295       0.785418       0.452921       0.479907       0.560857       0.71315        0.52384        0.541074       0.475375       0.471852       0.440592       0.799285       0.679066       0.692735       0.693147       0.795957       0.67362        0.633831       0.524762       0.508873       0.541142       0.639261       0.788302       0.560189       0.545288       0.61629        0.549885       0.532975       0.710592       0.778385       0.659608       
0.12995        0.18951        0.251568       0.794046       0.409725       0.277408       0.293539       0.379408       0.658209       0.158219       0.339422       0.26464        0.173183       0.20887        0.437953       0.171814       0.294545       0.169398       0.335537       0.284489       0.342693       0.206968       0.277386       0.371446       0.24665        0.28495        0.164722       0.260498       0.120667       0.204449       0.290414       0.789501       0.481758       0.480614       0.341199       0.427652       0.657815       0.174855       0.207211       0.307085       0.299863       0.196382       0.365174       0.301782       0.249829       0.350852       0.25131        0.133961       0.306986       0.774462       
0.240819       0.326075       0.398244       0.787434       0.669498       0.428759       0.519463       0.591436       0.799992       0.330167       0.502074       0.434264       0.309168       0.348242       0.724168       0.337384       0.526716       0.299287       0.538777       0.437989       0.543389       0.346888       0.466671       0.530039       0.421342       0.438197       0.297116       0.514952       0.316948       0.346189       0.517653       0.795645       0.782894       0.782372       0.589121       0.784314       0.757727       0.307666       0.631774       0.461081       0.456597       0.389818       0.522904       0.454177       0.403992       0.510887       0.397587       0.276837       0.585147       0.782622       
